row_kind,family,name_a,name_b,residue_reason,first_label,first_confidence,first_reason,arbiter_label,arbiter_confidence,arbiter_reason,base_is,yield_qty,yield_unit,co_harvestable,contradiction_detail,hans_verdict,hans_notes
TO_HUMAN,flour_starch,flour tortillas (8-inch),small flour tortillas,contradiction_flagged,SUBSUMES,low,"8-inch tortillas are commonly the 'small' size, so 'small flour tortillas' is the broader term satisfied by them; borderline since 8-inch is sometimes called medium.",STILL_UNSURE,low,"Turns on whether 8-inch counts as 'small': in much of the market 'small' tortillas are 6-inch taco/street size and 8-inch is sold as medium/fajita, while relative to 10-12 inch burrito tortillas 8-inch is the small one. Neither name settles it.",,,,,"signature [small] received DISTINCT + SUBSUMES — flour tortillas (10-inch) ~ small flour tortillas => DISTINCT; flour tortillas (8-inch) ~ small flour tortillas => SUBSUMES; flour tortillas ~ small flour tortillas => SUBSUMES | same base, descriptor difference, received DISTINCT + SUBSUMES — flour tortillas (8-inch) ~ large flour tortillas [large] => DISTINCT; flour tortillas (8-inch) ~ large flour tortillas (10-inch) [large] => DISTINCT; flour tortillas (8-inch) ~ large flour tortillas (12-inch) [large] => DISTINCT; flour tortillas (8-inch) ~ small flour tortillas [small] => SUBSUMES | SUBSUMES declares ""small flour tortillas"" generic over ""flour tortillas (8-inch)"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
TO_HUMAN,flour_starch,small flour tortillas,store-bought flour tortillas (8-inch),contradiction_flagged,SUBSUMES,low,"Treating 8-inch as the small size, 'small flour tortillas' is broader (sourcing open) and is satisfied by store-bought 8-inch; borderline size call.",STILL_UNSURE,low,"Depends on the same unsettled fact as 8-inch ~ small: if 8-inch counts as 'small' the first name is the generic (sourcing left open), otherwise the sizes conflict and they are distinct products.",,,,,signature [bought|small|store] received DISTINCT + SUBSUMES — small flour tortillas ~ store-bought flour tortillas => DISTINCT; small flour tortillas ~ store-bought flour tortillas (8-inch) => SUBSUMES,,
TO_HUMAN,pork,mild italian pork sausage,sweet italian pork sausage,confidence_low,SYNONYM,low,In US retail 'sweet' and 'mild' italian sausage label the same non-spicy fennel sausage; a shopper handed either buys the same package.,STILL_UNSURE,low,"'Sweet' and 'mild' italian sausage are usually interchangeable labels for the non-spicy fennel sausage, but major brands also sell them as separate SKUs with different seasoning. Cannot be settled from the names alone.",,,,,,,
TO_HUMAN,poultry,chicken broth,chicken poaching broth,confidence_low,SUBSUMES,low,"Poaching broth is a specific chicken broth (the liquid from poaching); a demand for plain chicken broth is met by it, not the reverse.",STILL_UNSURE,low,"'Chicken poaching broth' may denote a purchased broth used for poaching or the in-recipe liquid left after poaching chicken; the two readings give opposite answers (SUBSUMES vs a recipe-generated intermediate that is not a purchase at all), and the name does not settle which.",,,,,,,
SPOTCHECK,pork,bulk italian sausage,italian sausage,auto_accepted,SUBSUMES,high,"'Italian sausage' is the bare generic; 'bulk' fixes the form, so the generic is the second name.",SUBSUMES,high,'Italian sausage' is the bare generic; 'bulk' fixes the form (loose rather than links).,,,,,,,
SPOTCHECK,salsa,chunky salsa,salsa,auto_accepted,SUBSUMES,high,"""salsa"" is the bare generic; ""chunky"" fixes the texture axis. A shopper needing salsa is served by chunky salsa, not the reverse.",SUBSUMES,high,"Second name is the bare generic; ""chunky"" fixes the texture axis. A shopper needing salsa is served by chunky salsa, not the reverse.",,,,,,,
SPOTCHECK,rice_grain,dried rice noodles,wide dried rice noodles (sen yai),auto_accepted,SUBSUMES,high,"""dried rice noodles"" leaves width open; sen yai wide is a specific kind.",SUBSUMES,high,'dried rice noodles' leaves width and shape open; wide sen yai dried noodles are one specific kind of dried rice noodle.,,,,,,,
SPOTCHECK,rice_grain,long-grain brown rice,long-grain white rice,auto_accepted,DISTINCT,high,Brown and white milling are different products.,DISTINCT,high,Brown (unmilled) and white (milled) long-grain rice are separate bags with different cooking behaviour; owning one does not supply the other.,,,,,,,
SPOTCHECK,greens,fresh lacinato kale,lacinato kale,auto_accepted,SYNONYM,high,"""fresh"" restates the default state of lacinato kale; same bunch.",SYNONYM,high,"""Fresh"" restates the default state of lacinato (dinosaur) kale; one bunch, one purchase. Matches the family's other ""fresh X"" ~ ""X"" verdicts.",,,,,,,
SPOTCHECK,chili,pinch of kashmiri red chili powder,red chili,auto_accepted,DISTINCT,high,Ground Kashmiri powder versus whole red chile peppers.,DISTINCT,high,Ground Kashmiri chili powder versus whole red chile peppers: separate purchases.,,,,,,,
