mealId,title,serv,medCal,medP,medC,medF,grounded%,draw1,draw2,draw3,bitIdentical,consistentFlags
r-grain-bowl,"Mediterranean Grain Bowl",2,565,26.8,58.2,22.1,100,665,565,565,false,""
r-salmon,"Lemon Herb Salmon",2,515,32.8,48.2,16.9,100,515,515,535,false,""
r-stirfry,"Chicken Veggie Stir-fry",4,445,32.1,48.2,10.8,100,445,445,445,true,""
r-tacos,"Beef Street Tacos",4,565,32.1,48.2,23.8,100,565,565,565,true,""
r-pasta,"Creamy Mushroom Pasta",4,565,24.8,54.2,24.1,100,565,565,565,true,""
r-stew,"Hearty Lentil Stew",6,445,18.2,72.8,3.1,100,445,445,445,true,""
r-tofu,"Teriyaki Tofu Bowl",2,565,27.8,68.4,17.9,100,565,565,565,true,""
r-pizza,"Margherita Pizza Night",4,565,18.2,62.8,24.1,83,565,565,565,true,""
r-curry,"Coconut Chickpea Curry",4,505,18.6,72.8,12.1,88,505,505,505,true,""
r-buddha,"Roasted Veg Buddha Bowl",2,565,21.8,62.5,23.1,100,565,565,565,true,""
r-shrimp,"Garlic Shrimp Scampi",4,505,28.1,54.8,12.8,100,505,535,505,false,""
r-greek,"Big Greek Salad",2,445,11.8,20.1,34.2,88,445,445,445,true,""
dev-meal-salmon-rice-pilaf,"Salmon with Rice Pilaf",4,625,35.2,39.5,27.5,100,625,625,625,true,""
080db331-b55d-4d23-9178-54a1ef81211c,"Instant Pot Chicken Tikka Masala with Basmati Rice and Warm Naan",2,1070,53.7,130.9,36.6,86,1070,1070,1070,true,""
2942e5a2-0d2a-4f08-a3be-817e6baf956c,"Sheet-Pan Steak and Bell Pepper Fajitas with Flour Tortillas and Shredded Cheddar",2,1265,64.9,115.2,59.9,94,1265,1265,1260,false,""
3db74283-da57-4932-902d-674b7067dfc7,"Oven-Roasted Prosciutto-Wrapped Chicken Breast with Sun-Dried Tomato Cream Sauce and Orzo",2,865,47.1,55.5,46.9,86,865,865,865,true,""
bf3f2efa-1cbe-496e-a4a0-ebd64473ecd2,"Sheet-Pan Steak and Bell Pepper Fajita Rice Bowls with Mild Pico and Cheddar",2,895,50.8,89.3,44.1,88,905,895,895,false,""
06a3ff2a-05f5-4f71-bb02-e61641e9434f,"Rigatoni Arrabbiata with Italian Sausage and Fresh Basil",2,735,41.2,72.8,26.1,82,735,735,735,true,""
ba14d4db-9c34-437d-bb00-76ed0adbaf5a,"Instant Pot Butter Chicken with Basmati Rice and Warm Naan",2,1070,49.5,128.5,40.8,86,1070,1040,1070,false,""
a40f036a-10ae-4a52-8a07-f19004cf4f34,"Crispy Oven-Baked Chicken Thighs with Roasted Bell Peppers and Garlic White Rice",2,1055,36.8,48.9,51.5,82,1055,930,1055,false,""
ad53bf3f-0677-4024-aeb7-3274565e1ff5,"Beef and Black Bean Enchiladas with Mild Red Sauce and Melted Cheddar",2,1008,45.2,103.9,40.9,89,1008,1008,1008,true,""
cf848983-1a32-4d88-be53-d281afd57f12,"Thai Basil Pork (Pad Kra Pao) with Jasmine Rice and a Crispy Fried Egg",2,965,49.7,92.6,40.3,88,950,965,965,false,""
8524c341-4904-4d4d-95ab-49f863ecc138,"Grilled Chicken Shawarma Wraps with Garlic Sauce, Pickled Onion, and Cucumber",2,1265,51.1,107.8,65.3,86,1265,1265,1265,true,"Atwater 24 kcal vs stated 55 kcal (>40% off)"
