row_kind,reason,family,name_a,name_b,label,confidence,base_is,yield_qty,yield_unit,co_harvestable,judge_reason,signature,straddles_processing,contradiction_detail,hans_verdict,hans_notes
RESIDUE,contradiction_flagged,allium,chives,dried chives,DISTINCT,high,,,,,Dried herb vs fresh herb are two different shelf products (cf. fresh basil / dried basil).,dried,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM",,
RESIDUE,contradiction_flagged,allium,chives,fresh chives,SYNONYM,high,,,,,Unqualified 'chives' means the fresh bunch; same purchase.,fresh,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM",,
RESIDUE,confidence_medium,allium,diced white onion,onion,DISTINCT,medium,,,,,Generic 'onion' is not specifically a white onion; a recipe calling for white onion needs that variety.,diced|white,false,,,
RESIDUE,contradiction_flagged,allium,fresh garlic,garlic,SYNONYM,high,,,,,'Fresh garlic' is just the default garlic bulb purchase.,fresh,true,"same base, prep difference, received COMPONENT + SYNONYM — fresh garlic ~ garlic [fresh] => SYNONYM; garlic ~ garlic, minced [minced] => COMPONENT",,
RESIDUE,confidence_medium,allium,fresh garlic,"garlic, minced",COMPONENT,medium,fresh garlic,3,tbsp,false,You buy the garlic bulb and mince cloves from it; no second purchase.,fresh|minced,true,,,
RESIDUE,confidence_medium,allium,fried onions (birista),onion,DISTINCT,medium,,,,,"Birista is deep-fried onion requiring oil and cooking; treated as its own prepared item, not a free part of an onion.",birista|fried,false,,,
RESIDUE,confidence_medium,allium,fried onions,onion,DISTINCT,medium,,,,,"Fried onions are a prepared/packaged item, not obtainable from a raw onion without frying.",fried,false,,,
RESIDUE,contradiction_flagged,allium,"garlic cloves, minced","garlic, minced",SYNONYM,high,,,,,Minced garlic and minced garlic cloves are the same thing from the same purchase.,clove,false,"signature [clove] received COMPONENT + SYNONYM — garlic cloves, minced ~ garlic, minced => SYNONYM; garlic ~ garlic cloves => COMPONENT",,
RESIDUE,contradiction_flagged,allium,garlic cloves,"garlic cloves, minced",SYNONYM,high,,,,,Prep descriptor only; identical purchase.,minced,false,"signature [minced] received COMPONENT + SYNONYM — garlic cloves ~ garlic cloves, minced => SYNONYM; garlic ~ garlic, minced => COMPONENT",,
RESIDUE,contradiction_flagged,allium,garlic,garlic cloves,COMPONENT,high,garlic,10,clove,false,You buy the bulb of garlic; cloves come out of it.,clove,false,"signature [clove] received COMPONENT + SYNONYM — garlic cloves, minced ~ garlic, minced => SYNONYM; garlic ~ garlic cloves => COMPONENT",,
RESIDUE,confidence_medium,allium,garlic,garlic head,SYNONYM,medium,,,,,Generic 'garlic' at the shelf is a head of garlic; same purchase.,head,false,,,
RESIDUE,contradiction_flagged,allium,garlic,"garlic, minced",COMPONENT,medium,garlic,3,tbsp,false,Minced garlic is produced from the garlic bulb you already bought.,minced,false,"signature [minced] received COMPONENT + SYNONYM — garlic cloves ~ garlic cloves, minced => SYNONYM; garlic ~ garlic, minced => COMPONENT | same base, prep difference, received COMPONENT + SYNONYM — fresh garlic ~ garlic [fresh] => SYNONYM; garlic ~ garlic, minced [minced] => COMPONENT",,
RESIDUE,confidence_medium,allium,garlic,head of garlic,SYNONYM,medium,,,,,Generic garlic purchase is a head of garlic.,head,false,,,
RESIDUE,confidence_medium,allium,garlic,whole garlic head,SYNONYM,medium,,,,,Generic garlic purchase is a whole head of garlic.,head|whole,true,,,
RESIDUE,confidence_medium,allium,large yellow onion,medium yellow onion,SYNONYM,medium,,,,,"Same product (yellow onion); size adjective only affects quantity, not the shelf item.",large|medium,false,,,
RESIDUE,confidence_medium,allium,large yellow onion,onion,DISTINCT,medium,,,,,Generic 'onion' is not variety-specific; kept distinct from the yellow onion row for consistency.,large|yellow,false,,,
