canonicalName,category,catalogUses,decision,proposedFdcId,usdaDescription,dataType,per100kcal,confidence,flag,judgeReasoning
unsalted butter,Dairy,19,MISS,,,,,none,,None of the candidates are butter; all are snack foods
garlic cloves,Produce,8,AI_PICK,169230,"Garlic, raw",SR Legacy,149,medium,,"Garlic, raw is the plain, unprepared generic form of garlic cloves"
extra-virgin olive oil,Pantry,8,AI_PICK,171413,"Oil, olive, salad or cooking",SR Legacy,884,medium,,"Oil, olive, salad or cooking is the most generic olive oil product; extra-virgin is a grade/type of olive oil"
dijon mustard,Pantry,8,MISS,,,,,none,,"No prepared Dijon mustard record available; candidates are either mustard greens, mustard oil/seed, or honey mustard dressings"
neutral oil,Pantry,6,AI_PICK,172336,"Oil, canola",SR Legacy,884,medium,,Canola oil is the most common neutral-flavored cooking oil used as a generic substitute when 'neutral oil' is specified
jalapeño,Produce,5,MISS,,,,,none,,no USDA candidates
cherry tomatoes,Produce,4,MISS,,,,,none,,"No candidate for raw cherry tomatoes; available options are other tomato varieties (green, orange, yellow) or processed forms"
broccoli florets,Produce,4,AI_PICK,169330,"Broccoli, flower clusters, raw",SR Legacy,28,medium,,"Broccoli florets are the flower clusters of broccoli; this is the most direct match for raw, unprepared broccoli florets"
basmati rice,Pantry,3,MISS,,,,,none,,No basmati rice or plain rice grain records in candidates; all are rice-based snacks or processed products
romaine lettuce hearts,Produce,3,AI_PICK,169247,"Lettuce, cos or romaine, raw",SR Legacy,17,medium,,Romaine lettuce is also known as cos lettuce; this is the direct match for the ingredient
yukon gold potatoes,Produce,3,MISS,,,,,none,,"No candidate matches raw Yukon Gold potatoes; all are processed, prepared, or non-potato products"
sliced almonds,Pantry,3,AI_PICK,170567,"Nuts, almonds",SR Legacy,579,medium,,"Nuts, almonds is the plain, generic form of sliced almonds; slicing is a basic preparation method"
boneless skinless chicken thighs,Protein,3,MISS,,,,,none,,No candidate matches boneless skinless chicken thighs; all candidates are either breasts or thighs with skin
jasmine rice,Pantry,3,MISS,,,,,none,,"No candidate matches jasmine rice; all candidates are rice-based snacks or processed products, not raw jasmine rice grain"
canned crushed san marzano tomatoes,Canned,2,AI_PICK,170501,"Tomatoes, crushed, canned",SR Legacy,32,medium,,"Crushed canned tomatoes is the most direct match; San Marzano variety is a specific type but the generic form 'crushed, canned' is the closest available option"
