group,survivor,loser,decision,reason,survivor_fdcId,survivor_kcal,survivor_fdc_description,survivor_dataType,loser_fdcId,loser_kcal,loser_fdc_description,loser_dataType,kcal_divergence_pct
apple,apple,apples,LOSER,"reviewed 2026-08-21: survivor 174988 is 'Croissants, apple' - a pastry, not the fruit. LOSER carries Apples, raw.",174988,254,"Croissants, apple",SR Legacy,171688,52,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",SR Legacy,79.5
baby potato,baby potato,baby potatoes,LOSER,"survivor ref is unmatched, loser carries a matched record",,,,,170026,77,"Potatoes, flesh and skin, raw",SR Legacy,
baby yukon gold potatoes,baby yukon gold potatoes,baby yukon gold potato,SURVIVOR,survivor already carries the only matched record,170026,77,"Potatoes, flesh and skin, raw",SR Legacy,,,,,
bratwurst sausages,bratwurst sausages,bratwurst sausage,LOSER,"survivor ref is unmatched, loser carries a matched record",,,,,171622,323,"Bratwurst, pork, beef, link",SR Legacy,
brioche hamburger bun,brioche hamburger bun,brioche hamburger buns,SURVIVOR,survivor already carries the only matched record,172796,279,"Rolls, hamburger or hotdog, plain",SR Legacy,,,,,
cremini mushrooms,cremini mushrooms,cremini mushroom,SURVIVOR,survivor already carries the only matched record,168434,22,"Mushrooms, brown, italian, or crimini, raw",SR Legacy,,,,,
dill pickle,dill pickle,dill pickles,SURVIVOR,"both matched, kcal agree within 10% (0.0%) — no material difference",168558,12,"Pickles, cucumber, dill or kosher dill",SR Legacy,324653,12,,,0.0
dried ancho chiles,dried ancho chiles,dried ancho chile,LOSER,"survivor ref is unmatched, loser carries a matched record",,,,,169396,281,"Peppers, ancho, dried",SR Legacy,
dried guajillo chiles,dried guajillo chiles,dried guajillo chile,LOSER,"survivor ref is unmatched, loser carries a matched record",,,,,168570,324,"Peppers, hot chile, sun-dried",SR Legacy,
english cucumber,english cucumber,english cucumbers,SURVIVOR,survivor already carries the only matched record,168409,15,"Cucumber, with peel, raw",SR Legacy,,,,,
fresh jalapeño,fresh jalapeño,fresh jalapeños,SURVIVOR,survivor already carries the only matched record,168576,29,"Peppers, jalapeno, raw",SR Legacy,,,,,
hoagie rolls,hoagie rolls,hoagie roll,LOSER,"survivor ref is unmatched, loser carries a matched record",,,,,172795,277,"Rolls, french",SR Legacy,
jalapeño,jalapeño,jalapeños,SURVIVOR,survivor already carries the only matched record,168576,29,"Peppers, jalapeno, raw",SR Legacy,,,,,
large flour tortillas,large flour tortillas,large flour tortilla,SURVIVOR,"both matched, kcal agree within 10% (5.8%) — no material difference",175037,306,"Tortillas, ready-to-bake or -fry, flour, refrigerated",SR Legacy,173242,325,"Tortillas, ready-to-bake or -fry, flour, without added calcium",SR Legacy,5.8
lemon,lemon,lemons,SURVIVOR,"reviewed 2026-08-21: loser 167802 is lemon juice from concentrate, bottled. SURVIVOR carries Lemons, raw.",167746,29,"Lemons, raw, without peel",SR Legacy,167802,17,"Lemon juice from concentrate, bottled, REAL LEMON",SR Legacy,41.4
pickled jalapeños,pickled jalapeños,pickled jalapeño,LOSER,"survivor ref is unmatched, loser carries a matched record",,,,,169766,22,"Peppers, hot pickled, canned",SR Legacy,
ripe avocado,ripe avocado,ripe avocados,SURVIVOR,"reviewed 2026-08-21: loser 173573 is 'Oil, avocado' at 884 kcal/100g fat - this is BUG-032's headline defect. SURVIVOR carries Avocados, raw.",171705,160,"Avocados, raw, all commercial varieties",SR Legacy,173573,884,"Oil, avocado",SR Legacy,81.9
romaine lettuce hearts,romaine lettuce hearts,romaine lettuce heart,SURVIVOR,survivor already carries the only matched record,169247,17,"Lettuce, cos or romaine, raw",SR Legacy,,,,,
russet potatoes,russet potatoes,russet potato,SURVIVOR,"reviewed 2026-08-21: both records legitimate. Hans ruled RAW as catalog convention - macros describe the ingredient as purchased, quantities are as-purchased, 'cooked' is a preparation note on the step. SURVIVOR is raw.",170027,79,"Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)",SR Legacy,170030,95,"Potatoes, Russet, flesh and skin, baked",SR Legacy,16.8
small flour tortillas,small flour tortillas,small flour tortilla,SURVIVOR,"both matched, kcal agree within 10% (6.2%) — no material difference",175037,306,"Tortillas, ready-to-bake or -fry, flour, refrigerated",SR Legacy,175082,287,"Mission Foods, Mission Flour Tortillas, Soft Taco, 8 inch",SR Legacy,6.2
sweet potatoes,sweet potatoes,sweet potato,LOSER,"reviewed 2026-08-21: survivor 169303 is 'Sweet potato leaves, raw' - the plant, not the tuber. LOSER carries the tuber. Also a BUG-032 marquee food.",169303,42,"Sweet potato leaves, raw",SR Legacy,168482,86,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",SR Legacy,51.2
yellow potatoes,yellow potatoes,yellow potato,LOSER,"reviewed 2026-08-21: survivor 169764 is french fried, frozen. LOSER carries raw potato, consistent with the other four potato rows.",169764,162,"Potatoes, yellow fleshed, french fried, frozen, unprepared",SR Legacy,170026,77,"Potatoes, flesh and skin, raw",SR Legacy,52.5
yukon gold potatoes,yukon gold potatoes,yukon gold potato,SURVIVOR,survivor already carries the only matched record,170026,77,"Potatoes, flesh and skin, raw",SR Legacy,,,,,
