row_kind,reason,family,name_a,name_b,label,confidence,base_is,generic_is,yield_qty,yield_unit,co_harvestable,judge_reason,signature,straddles_processing,contradiction_detail,hans_verdict,hans_notes
RESIDUE,contradiction_flagged,allium,chives,dried chives,DISTINCT,medium,,,,,,Bare 'chives' means the fresh herb; dried chives is a separate spice-aisle product.,dried,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM",,
RESIDUE,contradiction_flagged,allium,chives,fresh chives,SYNONYM,medium,,,,,,Bare 'chives' defaults to the fresh bunch; same product.,fresh,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM",,
RESIDUE,confidence_medium,allium,chives,garlic chives,SUBSUMES,medium,,chives,,,,'chives' is unqualified; garlic chives is a named specific variety of chives.,garlic,false,,,
RESIDUE,confidence_medium,allium,crispy fried onions,fried onions,SYNONYM,medium,,,,,,'crispy' is a descriptor of the same packaged fried onion product.,crispy,false,,,
RESIDUE,confidence_medium,allium,crispy fried onions,onion,DISTINCT,medium,,,,,,"Packaged crispy fried onions is a cooked/processed product, not obtained by buying raw onions.",crispy|fried,false,,,
RESIDUE,confidence_medium,allium,fried onions (birista),onion,DISTINCT,medium,,,,,,"Birista is a cooked fried-onion preparation, not something a raw onion purchase already contains.",birista|fried,false,,,
RESIDUE,confidence_medium,allium,fried onions,onion,DISTINCT,medium,,,,,,Fried onions are a cooked/packaged product distinct from raw onions.,fried,false,,,
RESIDUE,confidence_medium,allium,"frozen pearl onions, thawed",onion,SUBSUMES,medium,,onion,,,,'onion' is the bare generic; frozen pearl onions is a qualified specific form of onion.,frozen|pearl|thawed,true,,,
RESIDUE,confidence_medium,allium,"frozen pearl onions, thawed",pearl onion,DISTINCT,medium,,,,,,"Frozen bag versus fresh pearl onions; both qualified, different products.",frozen|thawed,true,,,
RESIDUE,confidence_medium,allium,frozen pearl onions,onion,SUBSUMES,medium,,onion,,,,Bare 'onion' subsumes the qualified frozen pearl onion product.,frozen|pearl,true,,,
RESIDUE,confidence_medium,allium,frozen pearl onions,pearl onion,DISTINCT,medium,,,,,,Frozen versus fresh pearl onions are separate purchases.,frozen,true,,,
RESIDUE,confidence_medium,allium,garlic cloves,"garlic cloves, peeled",SYNONYM,medium,,,,,,Peeling garlic removes only inedible papery skin; the purchase is unchanged in quantity.,peeled,false,,,
RESIDUE,confidence_medium,allium,garlic,garlic cloves,SYNONYM,medium,,,,,,Recipes use 'garlic' and 'garlic cloves' interchangeably for the same purchase.,clove,false,,,
RESIDUE,confidence_medium,allium,garlic,"garlic cloves, minced",SYNONYM,medium,,,,,,"Same garlic purchase, minced.",clove|minced,false,,,
RESIDUE,confidence_medium,allium,garlic,"garlic cloves, peeled",SYNONYM,medium,,,,,,"Same garlic purchase, peeled (only skin removed).",clove|peeled,false,,,
RESIDUE,confidence_medium,allium,garlic,"garlic cloves, thinly sliced",SYNONYM,medium,,,,,,"Same garlic purchase, sliced.",clove|sliced|thinly,false,,,
RESIDUE,confidence_medium,allium,garlic,garlic head,COMPONENT,medium,garlic head,,10,clove,false,You buy a head; the cloves recipes call 'garlic' come out of it.,head,false,,,
RESIDUE,confidence_medium,allium,garlic,head of garlic,COMPONENT,medium,head of garlic,,10,clove,false,The head is the purchase; garlic (cloves) comes from it.,head,false,,,
RESIDUE,confidence_medium,allium,garlic,whole garlic head,COMPONENT,medium,whole garlic head,,10,clove,false,The whole head is the purchase; garlic cloves come from it.,head|whole,true,,,
RESIDUE,contradiction_flagged,allium,green onions,onion,DISTINCT,high,,,,,,Green onions are not a substitute for bulb onions; separate produce item.,green,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES",,
RESIDUE,confidence_medium,allium,large yellow onion,yellow onion,SUBSUMES,medium,,yellow onion,,,,'yellow onion' leaves size open and is satisfied by a large one; the reverse fails.,large,false,,,
RESIDUE,contradiction_flagged,allium,large yellow onion,"yellow onion, diced",SUBSUMES,medium,,"yellow onion, diced",,,,"Diced yellow onion is size-unspecified yellow onion; it is satisfied by a large one, not vice versa.",diced|large,false,"SUBSUMES declares ""yellow onion, diced"" generic over ""large yellow onion"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,allium,large yellow onion,"yellow onion, roughly chopped",SUBSUMES,medium,,"yellow onion, roughly chopped",,,,Second name is size-unspecified yellow onion (prep only); first fixes size.,chopped|large|roughly,false,"SUBSUMES declares ""yellow onion, roughly chopped"" generic over ""large yellow onion"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,allium,large yellow onion,"yellow onions, finely diced",SUBSUMES,medium,,"yellow onions, finely diced",,,,Second name is size-unspecified yellow onion; first fixes size.,diced|finely|large,false,"SUBSUMES declares ""yellow onions, finely diced"" generic over ""large yellow onion"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,allium,large yellow onion,"yellow onions, thinly sliced",SUBSUMES,medium,,"yellow onions, thinly sliced",,,,Second name is size-unspecified yellow onion; first fixes size.,large|sliced|thinly,false,"SUBSUMES declares ""yellow onions, thinly sliced"" generic over ""large yellow onion"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,confidence_medium,allium,medium yellow onion,yellow onion,SUBSUMES,medium,,yellow onion,,,,"'yellow onion' leaves size open; a medium one satisfies it, not vice versa.",medium,false,,,
RESIDUE,contradiction_flagged,allium,medium yellow onion,"yellow onion, diced",SUBSUMES,medium,,"yellow onion, diced",,,,Second name is size-unspecified yellow onion (prep only); first fixes size.,diced|medium,false,"SUBSUMES declares ""yellow onion, diced"" generic over ""medium yellow onion"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,allium,medium yellow onion,"yellow onion, roughly chopped",SUBSUMES,medium,,"yellow onion, roughly chopped",,,,Second name is size-unspecified yellow onion; first fixes size.,chopped|medium|roughly,false,"SUBSUMES declares ""yellow onion, roughly chopped"" generic over ""medium yellow onion"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,allium,medium yellow onion,"yellow onions, finely diced",SUBSUMES,medium,,"yellow onions, finely diced",,,,Second name is size-unspecified yellow onion; first fixes size.,diced|finely|medium,false,"SUBSUMES declares ""yellow onions, finely diced"" generic over ""medium yellow onion"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
