ingredientId,ingredientName,decision,fdcId,usdaDescription,dataType,cal100g,protein100g,carbs100g,fat100g,aiReason,candidateCount
c0199008-0dcf-4681-a250-893484f1c8a7,80/20 ground beef,AUTO,174036,"Beef, ground, 80% lean meat / 20% fat, raw",SR Legacy,254,17.2,0,20,,25
9de0d54d-e301-4509-85fb-4722c49ca6d4,all-purpose flour,AUTO,789890,"Flour, wheat, all-purpose, enriched, bleached",Foundation,366,10.9,77.3,1.48,,25
16bf6c82-14f3-4c03-acbe-7e71e13f3039,american cheese,AUTO,747429,"Cheese, American, restaurant",Foundation,375,17.5,6.35,31.1,,25
d6b9e626-ea5b-4459-ad40-b807286b87ef,angel hair pasta,AI_PICK,169736,"Pasta, dry, enriched",SR Legacy,371,13,74.7,1.51,"Angel hair pasta is a dry, enriched pasta variety; candidate 0 is the most generic match for dry enriched pasta",25
f1c509bb-0198-40b9-815b-7c06d10a63f2,apple cider vinegar,AI_PICK,173469,"Vinegar, cider",SR Legacy,21,0,0.93,0,"Vinegar, cider is the direct match for apple cider vinegar",25
f4218e7c-4ff8-45e6-8398-2bc127d93a0e,apples,AUTO,174988,"Croissants, apple",SR Legacy,254,7.4,37.1,8.7,,25
11afb0dc-2cd7-4e72-9427-800958b318b6,asparagus,AUTO,168389,"Asparagus, raw",SR Legacy,20,2.2,3.88,0.12,,13
b7425a8e-6692-4d4a-b07a-514eca487056,avocado,AUTO,173573,"Oil, avocado",SR Legacy,884,0,0,100,,5
23d9798e-7b8f-452a-8241-a4810705882b,baby arugula,MISS,,,,,,,,"AI picked ""Arugula, baby, raw"" but its macros are incomplete",25
f486b7e2-fb54-43db-89e0-27af6f7eb7e2,baby back pork ribs,MISS,,,,,,,,All candidates are beef ribs; ingredient specifies pork ribs,25
b96171ad-3a06-496f-b092-d7f513066aff,baby potato,MISS,,,,,,,,"No potato record found in candidates; all options are other vegetables, baby foods, or candies",25
b9f90c34-f963-4a43-aedd-553af1b98e7f,baby spinach,MISS,,,,,,,,"AI picked ""Spinach, baby"" but its macros are incomplete",25
971d1b65-ad8f-4156-ada7-50980b2408ed,baby yellow potato,MISS,,,,,,,,"No candidate matches 'baby yellow potato' - candidates are either processed potato products or other vegetables, not raw/plain baby yellow potatoes",25
3a55d9bc-49b6-442f-843a-16f66c111353,baby yukon gold potato,MISS,,,,,,,,"AI picked ""Potatoes, gold, without skin, raw"" but its macros are incomplete",25
36becf24-3b73-4df3-95f6-2e669095de16,bacon,AUTO,172439,"Bacon, meatless",SR Legacy,309,11.7,5.31,29.5,,25
f8ed1594-d084-4967-8fde-15ea196e88b0,bagels,AUTO,174901,"Bagels, egg",SR Legacy,278,10.6,53,2.1,,15
6fb9eb28-0cf9-4aa7-b44c-bcfa167313ae,balsamic vinegar,AUTO,172241,"Vinegar, balsamic",SR Legacy,88,0.49,17,0,,11
9660aa49-438b-4058-8c6c-2da896287226,bananas,AUTO,173945,"Bananas, dehydrated, or banana powder",SR Legacy,346,3.89,88.3,1.81,,25
9284298b-6d50-45a9-ad94-3253b9b2eb32,barbecue sauce,AUTO,174523,"Sauce, barbecue",SR Legacy,172,0.82,40.8,0.63,,25
dd5bac34-6412-47d9-902e-357cb61cdf9e,basmati rice,MISS,,,,,,,,"None of the candidates are plain basmati rice; all are processed rice products (crackers, cakes, or mixes)",25
c72613c4-1eba-4d4b-8b07-b36064e51cf5,bay leaf,AUTO,170917,"Spices, bay leaf",SR Legacy,313,7.61,75,8.36,,19
92272599-a3dc-42f7-9235-5b0a7aa6f67b,bay leaves,AI_PICK,170917,"Spices, bay leaf",SR Legacy,313,7.61,75,8.36,"Bay leaf is a spice made from the dried leaves of the bay laurel plant, matching 'Spices, bay leaf' exactly",25
c2ffeff8-e96a-4299-9771-68802d3143d9,bbq sauce,MISS,,,,,,,,"All candidates are prepared BBQ chicken dishes, not BBQ sauce itself",25
6a7d7f26-2f80-471a-bee2-ccbaafae9710,bean sprouts,AI_PICK,169957,"Mung beans, mature seeds, sprouted, raw",SR Legacy,30,3.04,5.94,0.18,"Mung bean sprouts are the most common 'bean sprouts' sold commercially, and this is the plain raw form without added salt or processing",25
465709f9-c999-4a56-a826-d352cbaab93b,beef broth,AUTO,171561,"Soup, beef broth, cubed, dry",SR Legacy,170,17.3,16.1,4,,25
2db7c24e-8012-4c01-b8aa-80e4b2ab74f4,beef chuck roast,AUTO,169496,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",SR Legacy,190,26.4,0,9.36,,25
370f00ee-c7e5-4a47-94a5-da3ca41dac75,beef hot dogs,AI_PICK,323121,"Frankfurter, beef, unheated",Foundation,314,11.7,2.89,28,"Frankfurter, beef, unheated is the most generic, plain form of beef hot dogs",25
