rank,category,parent_dish,dish,primary_axis,cross_axis_used,axis_note,short_of_target,short_reason
26,Mexican/Tex-Mex,Chicken Quesadillas,Classic Chicken and Cheese Quesadillas,preparation,false,"Chicken quesadillas have genuine latitude in filling style, seasoning, and add-ins — the wardrobe is real and changes what a person actually eats.",false,
26,Mexican/Tex-Mex,Chicken Quesadillas,BBQ Chicken Quesadillas,preparation,false,"Chicken quesadillas have genuine latitude in filling style, seasoning, and add-ins — the wardrobe is real and changes what a person actually eats.",false,
26,Mexican/Tex-Mex,Chicken Quesadillas,Chicken Fajita Quesadillas,preparation,false,"Chicken quesadillas have genuine latitude in filling style, seasoning, and add-ins — the wardrobe is real and changes what a person actually eats.",false,
26,Mexican/Tex-Mex,Chicken Quesadillas,"Chicken, Black Bean, and Roasted Corn Quesadillas",preparation,false,"Chicken quesadillas have genuine latitude in filling style, seasoning, and add-ins — the wardrobe is real and changes what a person actually eats.",false,
26,Mexican/Tex-Mex,Chicken Quesadillas,Chicken and Roasted Green Chile Quesadillas,preparation,false,"Chicken quesadillas have genuine latitude in filling style, seasoning, and add-ins — the wardrobe is real and changes what a person actually eats.",false,
27,Seafood,Shrimp Scampi,Shrimp Scampi over Linguine,accompaniment,false,"Shrimp scampi has a canonical form — shrimp in white wine, garlic, butter, and lemon — that shouldn't be altered; the natural variation is what starchy base or side absorbs the sauce and rounds out the plate.",false,
27,Seafood,Shrimp Scampi,Shrimp Scampi over Angel Hair Pasta,accompaniment,false,"Shrimp scampi has a canonical form — shrimp in white wine, garlic, butter, and lemon — that shouldn't be altered; the natural variation is what starchy base or side absorbs the sauce and rounds out the plate.",false,
27,Seafood,Shrimp Scampi,Shrimp Scampi with Crusty Bread,accompaniment,false,"Shrimp scampi has a canonical form — shrimp in white wine, garlic, butter, and lemon — that shouldn't be altered; the natural variation is what starchy base or side absorbs the sauce and rounds out the plate.",false,
27,Seafood,Shrimp Scampi,Shrimp Scampi over Creamy Polenta,accompaniment,false,"Shrimp scampi has a canonical form — shrimp in white wine, garlic, butter, and lemon — that shouldn't be altered; the natural variation is what starchy base or side absorbs the sauce and rounds out the plate.",false,
27,Seafood,Shrimp Scampi,Shrimp Scampi over Zucchini Noodles,accompaniment,false,"Shrimp scampi has a canonical form — shrimp in white wine, garlic, butter, and lemon — that shouldn't be altered; the natural variation is what starchy base or side absorbs the sauce and rounds out the plate.",false,
28,Italian-American,Baked Ziti,Classic Meat Sauce Baked Ziti,preparation,false,"Baked ziti has genuine latitude in its filling, sauce, and protein — meat sauce, ricotta-heavy, sausage-based, and vegetable versions are all real, distinct dinners a home cook would choose between.",true,"A fifth distinct version would require either repeating a protein swap already covered or inventing a combination (e.g., a seafood baked ziti) that falls outside the dish's actual home-cooking wardrobe; four honest versions beat five padded ones."
28,Italian-American,Baked Ziti,Ricotta and Three-Cheese Baked Ziti,preparation,false,"Baked ziti has genuine latitude in its filling, sauce, and protein — meat sauce, ricotta-heavy, sausage-based, and vegetable versions are all real, distinct dinners a home cook would choose between.",true,"A fifth distinct version would require either repeating a protein swap already covered or inventing a combination (e.g., a seafood baked ziti) that falls outside the dish's actual home-cooking wardrobe; four honest versions beat five padded ones."
28,Italian-American,Baked Ziti,Italian Sausage and Pepper Baked Ziti,preparation,false,"Baked ziti has genuine latitude in its filling, sauce, and protein — meat sauce, ricotta-heavy, sausage-based, and vegetable versions are all real, distinct dinners a home cook would choose between.",true,"A fifth distinct version would require either repeating a protein swap already covered or inventing a combination (e.g., a seafood baked ziti) that falls outside the dish's actual home-cooking wardrobe; four honest versions beat five padded ones."
28,Italian-American,Baked Ziti,Roasted Vegetable Baked Ziti,preparation,false,"Baked ziti has genuine latitude in its filling, sauce, and protein — meat sauce, ricotta-heavy, sausage-based, and vegetable versions are all real, distinct dinners a home cook would choose between.",true,"A fifth distinct version would require either repeating a protein swap already covered or inventing a combination (e.g., a seafood baked ziti) that falls outside the dish's actual home-cooking wardrobe; four honest versions beat five padded ones."
29,Sandwiches/Burgers,Turkey Burgers,"Classic Turkey Burger with Lettuce, Tomato, and Dijonnaise",preparation,false,"Turkey burgers have real latitude in seasoning, toppings, and style — the patty itself can be built many different ways, and each combination produces a genuinely different dinner.",false,
29,Sandwiches/Burgers,Turkey Burgers,BBQ Turkey Burger with Cheddar and Crispy Onion Strings,preparation,false,"Turkey burgers have real latitude in seasoning, toppings, and style — the patty itself can be built many different ways, and each combination produces a genuinely different dinner.",false,
29,Sandwiches/Burgers,Turkey Burgers,"Mediterranean Turkey Burger with Feta, Cucumber, and Tzatziki",preparation,false,"Turkey burgers have real latitude in seasoning, toppings, and style — the patty itself can be built many different ways, and each combination produces a genuinely different dinner.",false,
29,Sandwiches/Burgers,Turkey Burgers,Mushroom-Swiss Turkey Burger with Garlic Aioli,preparation,false,"Turkey burgers have real latitude in seasoning, toppings, and style — the patty itself can be built many different ways, and each combination produces a genuinely different dinner.",false,
29,Sandwiches/Burgers,Turkey Burgers,"Spicy Southwest Turkey Burger with Pepper Jack, Avocado, and Chipotle Mayo",preparation,false,"Turkey burgers have real latitude in seasoning, toppings, and style — the patty itself can be built many different ways, and each combination produces a genuinely different dinner.",false,
30,Asian-American,Chicken Fried Rice,Classic Takeout-Style Chicken Fried Rice,preparation,false,"Chicken fried rice has real latitude in seasoning, aromatics, mix-ins, and regional style while remaining a complete one-pan meal that needs no accompaniment axis.",false,
30,Asian-American,Chicken Fried Rice,Spicy Sriracha Chicken Fried Rice,preparation,false,"Chicken fried rice has real latitude in seasoning, aromatics, mix-ins, and regional style while remaining a complete one-pan meal that needs no accompaniment axis.",false,
30,Asian-American,Chicken Fried Rice,Pineapple Chicken Fried Rice,preparation,false,"Chicken fried rice has real latitude in seasoning, aromatics, mix-ins, and regional style while remaining a complete one-pan meal that needs no accompaniment axis.",false,
30,Asian-American,Chicken Fried Rice,Kimchi Chicken Fried Rice,preparation,false,"Chicken fried rice has real latitude in seasoning, aromatics, mix-ins, and regional style while remaining a complete one-pan meal that needs no accompaniment axis.",false,
30,Asian-American,Chicken Fried Rice,Garlic Butter Chicken Fried Rice,preparation,false,"Chicken fried rice has real latitude in seasoning, aromatics, mix-ins, and regional style while remaining a complete one-pan meal that needs no accompaniment axis.",false,
