row_kind,reason,family,name_a,name_b,label,confidence,base_is,generic_is,yield_qty,yield_unit,co_harvestable,judge_reason,signature,straddles_processing,contradiction_detail
RESIDUE,contradiction_flagged,allium,chives,dried chives,DISTINCT,medium,,,,,,Bare 'chives' means the fresh herb; dried chives are a spice-jar product. Same as fresh basil vs dried basil.,dried,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM"
RESIDUE,contradiction_flagged,allium,chives,fresh chives,SYNONYM,high,,,,,,Bare 'chives' is understood as fresh chives; same bunch off the shelf.,fresh,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM"
RESIDUE,confidence_medium,allium,chives,garlic chives,SUBSUMES,medium,,chives,,,,"'Chives' is the bare generic; garlic chives are a specific variety of chive. A demand for chives is met by garlic chives, not the reverse.",garlic,false,
RESIDUE,confidence_medium,allium,crispy fried onions,fried onions,SYNONYM,medium,,,,,,Crispy fried onions and fried onions name the same fried-onion topping product.,crispy,false,
RESIDUE,confidence_medium,allium,crispy fried onions,onion,DISTINCT,medium,,,,,,Fried onions are a prepared/packaged product requiring frying (and oil); buying raw onions does not give you them.,crispy|fried,false,
RESIDUE,confidence_medium,allium,diced white onion,onion,SUBSUMES,medium,,onion,,,,'Onion' is the bare generic; diced white onion is a specific colour (and prep) of it. Second name is the generic.,diced|white,false,
RESIDUE,confidence_medium,allium,fried onions (birista),onion,DISTINCT,medium,,,,,,Birista is a prepared fried-onion product; raw onion alone does not supply it without frying and oil.,birista|fried,false,
RESIDUE,confidence_medium,allium,fried onions,onion,DISTINCT,medium,,,,,,"Fried onions are a prepared product, not something a raw onion purchase already contains.",fried,false,
RESIDUE,confidence_medium,allium,"frozen pearl onions, thawed",onion,SUBSUMES,medium,,onion,,,,Bare 'onion' is unspecified on every axis and so covers frozen pearl onions; the reverse is false. Second name is the generic.,frozen|pearl|thawed,true,
RESIDUE,confidence_medium,allium,"frozen pearl onions, thawed",pearl onion,DISTINCT,medium,,,,,,Frozen bag vs fresh pearl onions are two different products on the shelf.,frozen|thawed,true,
RESIDUE,confidence_medium,allium,frozen pearl onions,onion,SUBSUMES,medium,,onion,,,,'Onion' is the bare generic; frozen pearl onions are a specific form. Second name is the generic.,frozen|pearl,true,
RESIDUE,confidence_medium,allium,frozen pearl onions,pearl onion,DISTINCT,medium,,,,,,Frozen pearl onions vs fresh pearl onions are separate purchases.,frozen,true,
RESIDUE,confidence_medium,allium,garlic cloves,"garlic cloves, peeled",SYNONYM,medium,,,,,,Peeling a clove removes only inedible papery skin; the clove count and purchase are unchanged.,peeled,false,
RESIDUE,confidence_medium,allium,garlic,garlic head,SYNONYM,medium,,,,,,Buying 'garlic' is buying a head of garlic — the same shelf item.,head,false,
RESIDUE,confidence_medium,allium,garlic,head of garlic,SYNONYM,medium,,,,,,'Garlic' as purchased is a head of garlic.,head,false,
RESIDUE,confidence_medium,allium,garlic,whole garlic head,SYNONYM,medium,,,,,,'Garlic' as purchased is a whole garlic head.,head|whole,true,
RESIDUE,contradiction_flagged,allium,green onions,onion,DISTINCT,medium,,,,,,Green onions/scallions are a separate product from bulb onions; a shopper needing onion is not served by scallions.,green,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES"
RESIDUE,confidence_medium,allium,large yellow onion,medium yellow onion,DISTINCT,medium,,,,,,Both qualified on the size axis; two specifics never subsume each other.,large|medium,false,
RESIDUE,confidence_medium,allium,onion,pearl onion,SUBSUMES,medium,,onion,,,,'Onion' is the bare generic; pearl onion is a specific small variety of it.,pearl,false,
RESIDUE,contradiction_flagged,allium,onion,red onion,SUBSUMES,high,,onion,,,,Bare 'onion' is generic; red onion is a specific colour of it.,red,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES"
RESIDUE,confidence_medium,allium,onion,sliced green onions,DISTINCT,medium,,,,,,Green onions are a separate product from bulb onions; not interchangeable at purchase.,green|sliced,false,
RESIDUE,confidence_medium,allium,onion,spring onions,DISTINCT,medium,,,,,,"Spring onions are a separate green-allium purchase, not a kind of bulb onion a recipe calling for 'onion' would use.",spring,false,
RESIDUE,contradiction_flagged,allium,onion,white onion,SUBSUMES,high,,onion,,,,Bare 'onion' is generic; white onion is a specific colour.,white,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES"
RESIDUE,contradiction_flagged,allium,onion,yellow onion,SUBSUMES,high,,onion,,,,Bare 'onion' is generic; yellow onion is a specific colour.,yellow,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES"
RESIDUE,confidence_medium,apple,apple,apple cider,DISTINCT,medium,,,,,,"Apple cider is a bottled/jugged pressed beverage bought as its own product; a shopper holding apples cannot practically obtain cider without pressing equipment, so a second purchase is required.",cider,false,
RESIDUE,confidence_medium,apple,apple,crisp apple,SUBSUMES,medium,,apple,,,,"'apple' is the bare generic; 'crisp apple' fixes the texture axis. A crisp apple satisfies a call for apple, but not vice versa.",crisp,false,
RESIDUE,confidence_medium,asparagu,asparagus,fresh asparagus,SUBSUMES,medium,,asparagus,,,,"Bare ""asparagus"" is unspecified on the fresh/frozen/canned axis; ""fresh asparagus"" fixes it. A demand for asparagus is met by fresh, not vice versa.",fresh,true,
RESIDUE,confidence_medium,asparagu,asparagus,fresh asparagus spears,SUBSUMES,medium,,asparagus,,,,"""Spears"" adds nothing, but ""fresh"" qualifies the form axis that the bare generic leaves open, so the bare first name subsumes.",fresh|spear,true,
RESIDUE,confidence_medium,asparagu,asparagus,"fresh asparagus spears, thick-cut",SUBSUMES,medium,,asparagus,,,,"Bare generic is unspecified on every axis; the second fixes both freshness and thickness, so the generic first name subsumes the specific.",cut|fresh|spear|thick,true,
RESIDUE,confidence_medium,asparagu,fresh asparagus,"fresh asparagus spears, thick-cut",SUBSUMES,medium,,fresh asparagus,,,,"Both are fresh asparagus; the second additionally fixes the thickness axis that the first leaves open, so the first is the generic.",cut|spear|thick,false,
RESIDUE,confidence_medium,asparagu spear,asparagus spears,fresh asparagus spears,SUBSUMES,medium,,asparagus spears,,,,"""asparagus spears"" is unqualified on the form axis (could be fresh, frozen, or canned); ""fresh asparagus spears"" fixes that axis. A shopper needing generic asparagus spears is satisfied by fresh ones, but someone needing fresh is not satisfied by frozen. First name is the generic.",fresh,true,
RESIDUE,confidence_medium,asparagu spear,asparagus spears,"fresh asparagus spears, thick-cut",SUBSUMES,medium,,asparagus spears,,,,"""asparagus spears"" is bare and unspecified on every axis, so it subsumes the doubly-qualified ""fresh asparagus spears, thick-cut"" (fresh form + thick size). Satisfaction runs only one way. First name is the generic.",cut|fresh|thick,true,
RESIDUE,confidence_medium,asparagu spear,fresh asparagus spears,"fresh asparagus spears, thick-cut",SUBSUMES,medium,,fresh asparagus spears,,,,"Both share the ""fresh"" qualifier; the second adds a thickness/size specification while the first leaves size open. Same axis with one side bare on it, so the first (fresh, any thickness) is the generic and is satisfied by thick-cut, but not vice versa. ""Thick-cut"" here denotes spear grade, not a prep that discards anything.",cut|thick,false,
RESIDUE,confidence_medium,avocado,ripe avocado,ripe hass avocados,SUBSUMES,medium,,ripe avocado,,,,"Both say ""ripe"", so ripeness matches; the second additionally fixes variety (Hass). A shopper needing a ripe avocado is satisfied by ripe Hass, but one needing Hass is not satisfied by any ripe avocado. Wrinkle: both names carry a qualifier, though they agree on that axis.",hass,false,
RESIDUE,confidence_medium,bay leaf,bay leaves,dried bay leaves,SUBSUMES,medium,,bay leaves,,,,"""bay leaves"" is unqualified on the fresh/dried axis, while ""dried bay leaves"" fixes it. A shopper needing generic bay leaves is satisfied by dried ones, but someone needing dried is not satisfied by fresh bay leaves, so the bare generic (first name) subsumes the specific.",dried,true,
RESIDUE,confidence_medium,bean_legume,black beans,cooked black beans,SUBSUMES,medium,,black beans,,,,Bare generic subsumes the cooked/prepared state; a cooked-bean demand is met by canned but not by any bag of dried.,cooked,true,
RESIDUE,contradiction_flagged,bean_legume,black beans,dried black beans,SUBSUMES,high,,black beans,,,,"Bare generic ""black beans"" subsumes the dried form.",dried,true,signature [dried] received SUBSUMES + SYNONYM — black beans ~ dried black beans => SUBSUMES; chickpeas ~ dried chickpeas => SUBSUMES; dried green split peas ~ green split peas => SYNONYM; dried navy beans ~ navy beans => SUBSUMES; dried pinto beans ~ pinto beans => SUBSUMES; dried red kidney beans ~ red kidney beans => SUBSUMES
RESIDUE,confidence_medium,bean_legume,black beans,refried black beans,DISTINCT,medium,,,,,,"Refried black beans are a prepared canned product, not a form of plain black beans a shopper already owns.",refried,false,
RESIDUE,contradiction_flagged,bean_legume,canned black beans,cooked black beans,SUBSUMES,medium,,cooked black beans,,,,"Canned black beans are already cooked, so a demand for ""cooked black beans"" (the broader state description) is satisfied by the can; the reverse is not true.",canned|cooked,true,"SUBSUMES declares ""cooked black beans"" generic over ""canned black beans"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)"
RESIDUE,confidence_medium,bean_legume,canned dark red kidney beans,canned kidney beans,SUBSUMES,medium,,canned kidney beans,,,,"Both canned; the second leaves the variety axis open, so canned kidney beans is the generic and dark red is the specific.",dark|red,false,
RESIDUE,contradiction_flagged,bean_legume,canned dark red kidney beans,kidney beans,SUBSUMES,high,,kidney beans,,,,"""kidney beans"" is the bare generic, unspecified on both form and shade; the canned dark red is a specific.",canned|dark|red,true,signature [canned|dark|red] received DISTINCT + SUBSUMES — canned dark red kidney beans ~ kidney beans => SUBSUMES; canned kidney beans ~ dark red kidney beans => DISTINCT
RESIDUE,confidence_medium,bean_legume,canned dark red kidney beans,red kidney beans,SUBSUMES,medium,,red kidney beans,,,,"""red kidney beans"" is broader (shade and form unspecified) than ""canned dark red kidney beans"".",canned|dark,true,
RESIDUE,contradiction_flagged,bean_legume,canned kidney beans,dark red kidney beans,DISTINCT,medium,,,,,,"""canned"" fixes form and leaves variety open; ""dark red"" fixes variety and leaves form open. Different axes, neither contains the other.",canned|dark|red,true,signature [canned|dark|red] received DISTINCT + SUBSUMES — canned dark red kidney beans ~ kidney beans => SUBSUMES; canned kidney beans ~ dark red kidney beans => DISTINCT
RESIDUE,confidence_medium,bean_legume,canned kidney beans,red kidney beans,DISTINCT,medium,,,,,,"""canned"" fixes form only, ""red"" fixes colour/variety only; qualifiers on different axes, so neither covers the other.",canned|red,true,
RESIDUE,confidence_medium,bean_legume,canned refried beans,refried black beans,DISTINCT,medium,,,,,,"""canned"" fixes packaging while leaving bean type open; ""black"" fixes bean type while leaving packaging open. Different axes.",black|canned,true,
RESIDUE,confidence_medium,bean_legume,chana dal (split yellow chickpeas),chickpeas,DISTINCT,medium,,,,,,"Chana dal is hulled and split, cooking and behaving differently; a chickpea recipe is not served by it and it must be bought separately.",chana|dal|split|yellow,false,
RESIDUE,contradiction_flagged,bean_legume,chickpeas,dried chickpeas,SUBSUMES,high,,chickpeas,,,,"Bare generic ""chickpeas"" subsumes the dried form.",dried,true,signature [dried] received SUBSUMES + SYNONYM — black beans ~ dried black beans => SUBSUMES; chickpeas ~ dried chickpeas => SUBSUMES; dried green split peas ~ green split peas => SYNONYM; dried navy beans ~ navy beans => SUBSUMES; dried pinto beans ~ pinto beans => SUBSUMES; dried red kidney beans ~ red kidney beans => SUBSUMES
RESIDUE,confidence_medium,bean_legume,cooked black beans,dried black beans,DISTINCT,medium,,,,,,"Dried beans must be soaked and cooked, and a cooked-bean demand is normally filled by a can; treated like peppercorns vs ground pepper.",cooked|dried,true,
RESIDUE,confidence_medium,bean_legume,dark red kidney beans,dried red kidney beans,DISTINCT,medium,,,,,,"""dark red"" fixes shade with form open; ""dried red"" fixes form with shade broad. Qualifiers on different axes.",dark|dried,true,
RESIDUE,confidence_medium,bean_legume,dark red kidney beans,red kidney beans,SUBSUMES,medium,,red kidney beans,,,,Red kidney beans is the broader shade term; dark red is a specific grade within it.,dark,false,
RESIDUE,contradiction_flagged,bean_legume,dried green split peas,green split peas,SYNONYM,high,,,,,,Green split peas are sold only dried; same bag under two names.,dried,true,signature [dried] received SUBSUMES + SYNONYM — black beans ~ dried black beans => SUBSUMES; chickpeas ~ dried chickpeas => SUBSUMES; dried green split peas ~ green split peas => SYNONYM; dried navy beans ~ navy beans => SUBSUMES; dried pinto beans ~ pinto beans => SUBSUMES; dried red kidney beans ~ red kidney beans => SUBSUMES
RESIDUE,contradiction_flagged,bean_legume,dried navy beans,navy beans,SUBSUMES,high,,navy beans,,,,"""navy beans"" is the bare generic; dried is a specific form.",dried,true,signature [dried] received SUBSUMES + SYNONYM — black beans ~ dried black beans => SUBSUMES; chickpeas ~ dried chickpeas => SUBSUMES; dried green split peas ~ green split peas => SYNONYM; dried navy beans ~ navy beans => SUBSUMES; dried pinto beans ~ pinto beans => SUBSUMES; dried red kidney beans ~ red kidney beans => SUBSUMES
RESIDUE,contradiction_flagged,bean_legume,dried pinto beans,pinto beans,SUBSUMES,high,,pinto beans,,,,"""pinto beans"" is the bare generic; dried is a specific form.",dried,true,signature [dried] received SUBSUMES + SYNONYM — black beans ~ dried black beans => SUBSUMES; chickpeas ~ dried chickpeas => SUBSUMES; dried green split peas ~ green split peas => SYNONYM; dried navy beans ~ navy beans => SUBSUMES; dried pinto beans ~ pinto beans => SUBSUMES; dried red kidney beans ~ red kidney beans => SUBSUMES
RESIDUE,contradiction_flagged,bean_legume,dried red kidney beans,red kidney beans,SUBSUMES,high,,red kidney beans,,,,"""red kidney beans"" leaves the form axis open; dried is the specific form of it.",dried,true,signature [dried] received SUBSUMES + SYNONYM — black beans ~ dried black beans => SUBSUMES; chickpeas ~ dried chickpeas => SUBSUMES; dried green split peas ~ green split peas => SYNONYM; dried navy beans ~ navy beans => SUBSUMES; dried pinto beans ~ pinto beans => SUBSUMES; dried red kidney beans ~ red kidney beans => SUBSUMES
RESIDUE,contradiction_flagged,beef,80/20 ground beef,ground beef (80/20 chuck),SYNONYM,medium,,,,,,80/20 ground beef is standardly ground chuck; the parenthetical just names the cut it already implies. Same package off the shelf.,chuck,false,signature [chuck] received SUBSUMES + SYNONYM — 80/20 ground beef ~ ground beef (80/20 chuck) => SYNONYM; bone-in beef chuck short ribs ~ bone-in beef short ribs => SUBSUMES; ground beef (80/20 chuck) ~ ground beef (80/20) => SYNONYM
RESIDUE,confidence_medium,beef,beef broth,"beef broth, low-sodium",SUBSUMES,medium,,beef broth,,,,"""beef broth"" is unqualified on the sodium axis; low-sodium is a specific kind of it. First is the generic.",low|sodium,false,
RESIDUE,confidence_medium,beef,beef broth,low-sodium beef broth,SUBSUMES,medium,,beef broth,,,,"Same as the reversed-wording variant: bare ""beef broth"" is the generic, low-sodium the specific.",low|sodium,false,
RESIDUE,confidence_medium,beef,beef chuck,beef chuck roast,SUBSUMES,medium,,beef chuck,,,,"""beef chuck"" names the primal generally; a chuck roast is a specific cut of it.",roast,false,
RESIDUE,confidence_medium,beef,beef chuck,bone-in beef chuck roast,SUBSUMES,medium,,beef chuck,,,,"Bare ""beef chuck"" is unspecified on cut and bone; bone-in chuck roast is a specific kind.",bone|roast,false,
RESIDUE,confidence_medium,beef,beef chuck,bone-in beef chuck short ribs,SUBSUMES,medium,,beef chuck,,,,Chuck short ribs are a specific chuck cut; the bare primal name subsumes them.,bone|rib|short,false,
RESIDUE,confidence_medium,beef,beef chuck,boneless beef chuck roast,SUBSUMES,medium,,beef chuck,,,,"Bare ""beef chuck"" subsumes boneless chuck roast.",boneless|roast,false,
RESIDUE,contradiction_flagged,beef,beef sirloin steak tips,beef sirloin tips,SYNONYM,high,,,,,,Sirloin tips and sirloin steak tips are the same product name.,steak,false,signature [steak] received SUBSUMES + SYNONYM — beef sirloin steak tips ~ beef sirloin tips => SYNONYM; beef sirloin ~ beef sirloin steak => SUBSUMES
RESIDUE,confidence_medium,beef,beef sirloin steak tips,sirloin steak,DISTINCT,medium,,,,,,Steak tips are trimmed chunks sold as their own item; a whole sirloin steak is a different package at the case.,beef|tip,false,
RESIDUE,contradiction_flagged,beef,beef sirloin steak,beef sirloin steak tips,DISTINCT,medium,,,,,,Same as the other tips/steak pair: a whole sirloin steak and sirloin steak tips are separate products.,tip,false,signature [tip] received DISTINCT + SUBSUMES — beef sirloin steak ~ beef sirloin steak tips => DISTINCT; beef sirloin ~ beef sirloin tips => SUBSUMES
RESIDUE,contradiction_flagged,beef,beef sirloin,beef sirloin steak,SUBSUMES,high,,beef sirloin,,,,"""beef sirloin"" is the bare primal; a sirloin steak is a specific cut of it.",steak,false,signature [steak] received SUBSUMES + SYNONYM — beef sirloin steak tips ~ beef sirloin tips => SYNONYM; beef sirloin ~ beef sirloin steak => SUBSUMES
RESIDUE,confidence_medium,beef,beef sirloin,beef sirloin steak tips,SUBSUMES,medium,,beef sirloin,,,,"Bare ""beef sirloin"" subsumes the specific steak-tips form.",steak|tip,false,
RESIDUE,contradiction_flagged,beef,beef sirloin,beef sirloin tips,SUBSUMES,medium,,beef sirloin,,,,"Bare ""beef sirloin"" subsumes sirloin tips.",tip,false,signature [tip] received DISTINCT + SUBSUMES — beef sirloin steak ~ beef sirloin steak tips => DISTINCT; beef sirloin ~ beef sirloin tips => SUBSUMES
RESIDUE,contradiction_flagged,beef,bone-in beef chuck short ribs,bone-in beef short ribs,SUBSUMES,medium,,bone-in beef short ribs,,,,"""bone-in beef short ribs"" leaves the primal open; chuck short ribs fix it. Second name is the generic.",chuck,false,signature [chuck] received SUBSUMES + SYNONYM — 80/20 ground beef ~ ground beef (80/20 chuck) => SYNONYM; bone-in beef chuck short ribs ~ bone-in beef short ribs => SUBSUMES; ground beef (80/20 chuck) ~ ground beef (80/20) => SYNONYM
RESIDUE,confidence_medium,beef,"bone-in ribeye steaks, 1-inch thick","bone-in ribeye steaks, about 1.25 inches thick",DISTINCT,medium,,,,,,Two specific thicknesses on the same axis; neither contains the other.,25,false,
RESIDUE,confidence_medium,beef,"bone-in ribeye steaks, about 1-inch thick","bone-in ribeye steaks, about 1.25 inches thick",DISTINCT,medium,,,,,,Two different specified thicknesses of the same cut.,25,false,
RESIDUE,confidence_medium,beef,bone-in ribeye steaks,"bone-in ribeye steaks, 1-inch thick",SUBSUMES,medium,,bone-in ribeye steaks,,,,"Both are bone-in ribeye, but the first leaves thickness open and the second fixes it; first is the broader name.",thick,false,
RESIDUE,confidence_medium,beef,bone-in ribeye steaks,"bone-in ribeye steaks, about 1-inch thick",SUBSUMES,medium,,bone-in ribeye steaks,,,,"First leaves thickness unspecified, second fixes it at 1 inch.",thick,false,
RESIDUE,confidence_medium,beef,bone-in ribeye steaks,"bone-in ribeye steaks, about 1.25 inches thick",SUBSUMES,medium,,bone-in ribeye steaks,,,,"First leaves thickness unspecified, second fixes it at 1.25 inches.",25|thick,false,
RESIDUE,contradiction_flagged,beef,ground beef (80/20 chuck),ground beef (80/20),SYNONYM,medium,,,,,,80/20 ground beef is conventionally ground chuck; naming the cut does not change the package bought.,chuck,false,signature [chuck] received SUBSUMES + SYNONYM — 80/20 ground beef ~ ground beef (80/20 chuck) => SYNONYM; bone-in beef chuck short ribs ~ bone-in beef short ribs => SUBSUMES; ground beef (80/20 chuck) ~ ground beef (80/20) => SYNONYM
RESIDUE,confidence_medium,beef,ground beef (85% lean),lean ground beef,SUBSUMES,medium,,lean ground beef,,,,"""lean ground beef"" is the loose generic; 85% lean is a specific ratio within it. Second is the generic.",85,false,
RESIDUE,confidence_medium,beef,ground beef,ground beef patties,SYNONYM,medium,,,,,,Forming ground beef into patties is a shaping step that discards nothing; the same purchase serves either name.,patty,false,
RESIDUE,confidence_low,beef,ground beef,lean ground beef meat boi,SUBSUMES,low,,ground beef,,,,"Second name is garbled but reads as lean ground beef, a specific kind of the bare generic.",boi|lean|meat,false,
RESIDUE,confidence_low,beef,lean ground beef,lean ground beef meat boi,SYNONYM,low,,,,,,"The trailing ""meat boi"" appears to be junk text on an otherwise identical name for lean ground beef.",boi|meat,false,
RESIDUE,confidence_medium,beef,new york strip steak,"new york strip steaks, about 1 inch thick",SUBSUMES,medium,,new york strip steak,,,,First leaves thickness open; second fixes it at about 1 inch. First is the generic.,thick,false,
RESIDUE,confidence_medium,beef,top sirloin steaks,"top sirloin steaks, about 1 inch thick",SUBSUMES,medium,,top sirloin steaks,,,,"Both are top sirloin, but the first leaves thickness unspecified while the second fixes it.",thick,false,
RESIDUE,confidence_medium,birria braising liquid reserved,reserved birria braising liquid,reserved braising liquid from chicken birria,SUBSUMES,medium,,reserved birria braising liquid,,,,"""reserved birria braising liquid"" is unqualified as to the meat used; ""from chicken birria"" fixes the meat axis. A recipe calling for generic reserved birria consommé is satisfied by the chicken version, but one calling specifically for chicken birria liquid is not satisfied by just any birria liquid. First name is the generic.",chicken|from,false,
RESIDUE,confidence_medium,birria braising liquid reserved,reserved birria braising liquid,reserved braising liquid from goat birria,SUBSUMES,medium,,reserved birria braising liquid,,,,"Same structure as the chicken pair: the bare ""reserved birria braising liquid"" is unspecified on the meat axis, while ""from goat birria"" fixes it. The generic demand is met by the goat-specific liquid, not the reverse. First name is the generic.",from|goat,false,
RESIDUE,confidence_medium,bok choy,baby bok choy,bok choy,SUBSUMES,medium,,bok choy,,,,"""bok choy"" is the bare, unqualified generic; ""baby bok choy"" fixes the size/maturity axis and is a specific kind of bok choy. A shopper needing bok choy is served by baby bok choy, but one needing baby bok choy is not served by any full-size head. The generic is the SECOND name, so genericIsA is false.",baby,false,
RESIDUE,confidence_medium,bread,baguette,crusty baguette,SUBSUMES,medium,,baguette,,,,"""baguette"" is the bare generic; ""crusty baguette"" fixes the crust/style axis. A shopper needing a baguette is satisfied by a crusty one, not necessarily the reverse.",crusty,false,
RESIDUE,confidence_medium,bread,baguette,crusty french baguette,SUBSUMES,medium,,baguette,,,,"""french"" is redundant for a baguette, but ""crusty"" qualifies; the bare ""baguette"" is the generic that covers it.",crusty|french,false,
RESIDUE,contradiction_flagged,bread,baguette,french baguette,SYNONYM,medium,,,,,,"A baguette is French by definition; ""french baguette"" names the identical product on the shelf.",french,false,signature [french] received SUBSUMES + SYNONYM — baguette ~ french baguette => SYNONYM; crusty baguette ~ crusty french baguette => SYNONYM; french hoagie rolls (10-inch) ~ hoagie rolls => SUBSUMES
RESIDUE,contradiction_flagged,bread,baguette,italian baguette,SUBSUMES,low,,baguette,,,,"""italian baguette"" fixes an origin/style axis; the bare ""baguette"" is the generic. Unusual name, so low confidence.",italian,false,signature [italian] received SUBSUMES + SYNONYM — baguette ~ italian baguette => SUBSUMES; ciabatta loaf ~ italian ciabatta loaf => SYNONYM; crusty bread ~ crusty italian bread => SUBSUMES
RESIDUE,contradiction_flagged,bread,ciabatta loaf,italian ciabatta loaf,SYNONYM,high,,,,,,Ciabatta is an Italian bread by definition; the qualifier adds nothing to the purchase.,italian,false,signature [italian] received SUBSUMES + SYNONYM — baguette ~ italian baguette => SUBSUMES; ciabatta loaf ~ italian ciabatta loaf => SYNONYM; crusty bread ~ crusty italian bread => SUBSUMES
RESIDUE,confidence_medium,bread,corn tortilla chips,corn tortillas,DISTINCT,medium,,,,,,A bag of fried chips and a pack of soft tortillas are two different purchases; turning tortillas into chips requires frying with extra ingredients.,chip,false,
RESIDUE,confidence_medium,bread,corn tortilla chips,corn tortillas (6-inch),DISTINCT,medium,,,,,,Fried chips versus soft 6-inch tortillas are separate products on separate shelves.,chip,false,
RESIDUE,confidence_medium,bread,corn tortilla strips,corn tortillas,DISTINCT,medium,,,,,,"Crisp tortilla strips are a separate packaged product from soft corn tortillas, matching the chips/tortillas judgement.",strip,false,
