mealId,title,serv,curCal,curP,curC,curF,newCal,newP,newC,newF,dCal,grounded%,basisTag,sanityFlags
r-grain-bowl,Mediterranean Grain Bowl,2,540,22,68,18,665,32.8,68.5,28.1,125,100,LEGUME/GRAIN,
r-salmon,Lemon Herb Salmon,2,620,38,42,28,515,32.8,48.2,16.9,-105,100,LEGUME/GRAIN,
r-stirfry,Chicken Veggie Stir-fry,4,480,32,52,14,445,32.1,48.2,10.8,-35,100,LEGUME/GRAIN,
r-tacos,Beef Street Tacos,4,560,30,48,24,565,32.1,48.2,24.8,5,100,LEGUME/GRAIN,
r-pasta,Creamy Mushroom Pasta,4,620,18,78,26,565,24.8,54.2,24.1,-55,100,,
r-stew,Hearty Lentil Stew,6,380,18,56,8,445,18.2,72.8,3.1,65,100,LEGUME/GRAIN,
r-tofu,Teriyaki Tofu Bowl,2,510,24,62,18,565,27.8,68.4,16.9,55,100,LEGUME/GRAIN,
r-pizza,Margherita Pizza Night,4,580,22,68,22,565,18.2,62.8,24.1,-15,83,LEGUME/GRAIN,
r-curry,Coconut Chickpea Curry,4,480,16,62,18,505,18.6,72.1,12.8,25,88,LEGUME/GRAIN,
r-buddha,Roasted Veg Buddha Bowl,2,520,16,72,18,565,21.8,62.5,22.1,45,100,LEGUME/GRAIN,
r-shrimp,Garlic Shrimp Scampi,4,540,32,58,18,565,32.8,58.2,16.1,25,100,,
r-greek,Big Greek Salad,2,380,12,22,28,445,12.8,24.1,32.4,65,88,,
dev-meal-salmon-rice-pilaf,Salmon with Rice Pilaf,4,640,38,48,26,625,35.2,39.5,27.5,-15,100,LEGUME/GRAIN,
080db331-b55d-4d23-9178-54a1ef81211c,Instant Pot Chicken Tikka Masala with Basmati Rice and Warm Naan,2,1055,52.3,76.3,59.9,1070,53.7,130.9,36.3,15,86,LEGUME/GRAIN,
2942e5a2-0d2a-4f08-a3be-817e6baf956c,Sheet-Pan Steak and Bell Pepper Fajitas with Flour Tortillas and Shredded Cheddar,2,1035,65.1,75.3,52.1,1265,64.9,115.2,59.9,230,94,LEGUME/GRAIN,
3db74283-da57-4932-902d-674b7067dfc7,Oven-Roasted Prosciutto-Wrapped Chicken Breast with Sun-Dried Tomato Cream Sauce and Orzo,2,1090,68,57.1,58.7,865,46.1,53.5,47.6,-225,86,,
bf3f2efa-1cbe-496e-a4a0-ebd64473ecd2,Sheet-Pan Steak and Bell Pepper Fajita Rice Bowls with Mild Pico and Cheddar,2,900,57.3,68,43.6,900,44.8,88.8,35.8,0,88,LEGUME/GRAIN,
06a3ff2a-05f5-4f71-bb02-e61641e9434f,Rigatoni Arrabbiata with Italian Sausage and Fresh Basil,2,745,32.8,78.2,28.1,735,41.2,72.8,26.1,-10,82,,
ba14d4db-9c34-437d-bb00-76ed0adbaf5a,Instant Pot Butter Chicken with Basmati Rice and Warm Naan,2,1055,53.2,89.2,50,1040,49.4,116.8,43.2,-15,86,LEGUME/GRAIN,
a40f036a-10ae-4a52-8a07-f19004cf4f34,Crispy Oven-Baked Chicken Thighs with Roasted Bell Peppers and Garlic White Rice,2,955,48.90000000000001,58.2,57.7,935,36.8,48.6,43.3,-20,82,LEGUME/GRAIN,
ad53bf3f-0677-4024-aeb7-3274565e1ff5,Beef and Black Bean Enchiladas with Mild Red Sauce and Melted Cheddar,2,1165,65.9,72.1,62.1,1008,45.2,103.9,40.9,-157,89,LEGUME/GRAIN,
cf848983-1a32-4d88-be53-d281afd57f12,Thai Basil Pork (Pad Kra Pao) with Jasmine Rice and a Crispy Fried Egg,2,850,42.7,55.9,48.2,965,49.7,92.6,40.3,115,88,LEGUME/GRAIN,
8524c341-4904-4d4d-95ab-49f863ecc138,"Grilled Chicken Shawarma Wraps with Garlic Sauce, Pickled Onion, and Cucumber",2,965,48.5,69.3,50,1265,51.1,107.8,65.3,300,86,LEGUME/GRAIN,Atwater 24 kcal vs stated 55 kcal (>40% off)
8678a11c-6fe4-4408-863f-5690dc479805,"Build-Your-Own Veggie Tacos with Roasted Corn, Black Beans, and Guacamole",4,940,28.5,98.8,46.5,885,29.5,90.1,42.3,-55,92,LEGUME/GRAIN,
e5556c9f-fb1b-4f06-8659-fe96e9de6ade,Crispy Hard Shell Ground Beef Tacos with Street Corn Salad,4,830,44,63,44,1135,62.3,76.1,66.1,305,91,,
9aaf45f6-3d54-4ef4-afbd-84ae5d00dca8,Herb-Crusted Baked Chicken Breast with Roasted Garlic Mashed Potatoes & Blistered Green Beans,2,695,50,53,30,675,40.7,42.2,35.7,-20,88,LEGUME/GRAIN,
67b192e0-33a0-4ba2-9ee6-9722bb9d5b54,Classic Cheeseburger with Crispy Oven Fries & Coleslaw,2,1110,43,90,62,1270,42.7,71.9,83.1,160,85,,
53ba3c2e-3479-4370-a0cc-caa913200a97,Spaghetti with Hearty Beef Meat Sauce,4,795,43,77,31,785,53,69.3,31.3,-10,91,,
6e0d54d1-80b7-49da-bcb8-751a91663c1b,Spaghetti and Beef-Pork Meatballs in San Marzano Tomato Sauce,4,925,46,80,42,980,60,88.7,42.3,55,79,LEGUME/GRAIN,
1eafc755-8c59-4b40-b7c4-47120bf78584,Smoky Beef Chili with Cornbread Crumble,2,920,50,70,47,950,54,76.3,41.7,30,85,LEGUME/GRAIN,
cce515c8-b82a-4086-b66e-14221ad51101,Crispy Chicken Parmesan with Spaghetti and Garlic Green Beans,4,920,60,87,35,1195,78.7,108.4,42.2,275,87,LEGUME/GRAIN,
8c3cb0aa-71a6-415e-bf8f-a00134c03542,Homemade Pepperoni Pizza with Garlic Herb Salad,4,825,31,79,40,1060,40.9,101.3,50.8,235,73,,
bc3e0d2a-b777-493b-8fd8-bf063ce352f1,Baked Mac and Cheese with Crispy Breadcrumb Crust & Roasted Broccoli,2,895,38,81,46,970,44.6,70.1,55,75,92,LEGUME/GRAIN,
26abd41a-3e69-4395-bae5-2a67ccabf014,Beef and Broccoli Stir-Fry with Steamed Jasmine Rice,2,670,42,73,23,635,35.7,52.6,22.3,-35,100,LEGUME/GRAIN,
3e2e0912-06e2-4653-aa2f-8915f05ad82b,Classic Pot Roast with Root Vegetables and Buttery Mashed Potatoes,4,825,48,53,44,910,58.8,45.4,46.7,85,75,,
8b34a859-56b4-4ad1-a49e-0f0ba2c2c0b9,Sheet-Pan Chicken Fajitas with Cilantro-Lime Rice and Avocado Crema,4,870,49,90,34,1170,57.6,116.5,43.5,300,90,LEGUME/GRAIN,
a63262b8-af63-4605-bac4-dbe5a2acec9a,Chicken and Vegetable Stir-Fry with Jasmine Rice,2,650,47,75,17.5,675,40.7,55.7,17,25,94,LEGUME/GRAIN,Atwater 122 kcal vs stated 255 kcal (>40% off)
eae97408-0da5-4190-a945-c74bad1a9120,Baked Lemon-Herb Salmon with Garlic Roasted Asparagus and Herbed Couscous,2,690,49,48,35,635,37.8,44.1,32.8,-55,86,,
e3702c33-3d1b-4f9f-981f-3cfdb2e043b1,Buttermilk Fried Chicken with Honey-Glazed Corn on the Cob & Creamy Coleslaw,4,930,47,68,53,1390,49.1,97.3,83.4,460,89,,
20f75a0d-f26d-455b-bf59-63a10cf6f232,Hearty Chicken Noodle Soup with Crusty Bread,4,605,44,67,16,845,45.5,45.5,19.5,240,87,LEGUME/GRAIN,Atwater 68 kcal vs stated 340 kcal (>40% off)
e5469902-c2c0-4d9d-bc5f-04064120be45,Grilled Chicken Breast with Roasted Garlic Potatoes and Steamed Broccoli,4,550,49,40,21,460,38.8,38.5,20.4,-90,83,,Atwater 69 kcal vs stated 45 kcal (>40% off)
aefc64f2-7af6-4fdc-a775-fd1c4301c6b8,Classic Beef Meatloaf with Garlic Mashed Potatoes & Roasted Green Beans,2,830,43,60,46,800,39.5,65.4,40.7,-30,88,LEGUME/GRAIN,
4c1a206d-d9eb-4ab4-9cbf-b2d5f9166f5e,Herb-Roasted Whole Chicken with Roasted Garlic Pan Jus,2,935,57,44,58,1535,60.5,43.7,87.8,600,83,LEGUME/GRAIN,MEAL:calories/serving 1535 > 1500 (implausible for one dish)
