row_kind,reason,family,name_a,name_b,label,confidence,base_is,yield_qty,yield_unit,co_harvestable,judge_reason,signature,straddles_processing,contradiction_detail,hans_verdict,hans_notes
RESIDUE,contradiction_flagged,allium,chives,dried chives,DISTINCT,high,,,,,"Fresh herb versus dried herb jar — two different products, like fresh basil vs dried basil.",dried,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM",,
RESIDUE,contradiction_flagged,allium,chives,fresh chives,SYNONYM,high,,,,,Unqualified 'chives' means the fresh bunch; identical purchase.,fresh,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM",,
RESIDUE,confidence_medium,allium,chives,garlic chives,DISTINCT,medium,,,,,Garlic chives are a different plant/product from common chives; a shopper would buy them separately.,garlic,false,,,
RESIDUE,confidence_medium,allium,crispy fried onions,onion,DISTINCT,medium,,,,,Fried onions are a bought crisp product (or require oil and frying); a raw onion is not one of them.,crispy|fried,false,,,
RESIDUE,contradiction_flagged,allium,diced white onion,large yellow onion,DISTINCT,high,,,,,"White onion vs yellow onion are different products, like red onion vs yellow onion.",diced|large|white|yellow,false,"diced white onion ~ large yellow onion labelled DISTINCT, but a chain of SYNONYM edges already makes them the same purchase",,
RESIDUE,contradiction_flagged,allium,diced white onion,medium yellow onion,DISTINCT,high,,,,,White onion vs yellow onion are different products regardless of size wording.,diced|medium|white|yellow,false,"diced white onion ~ medium yellow onion labelled DISTINCT, but a chain of SYNONYM edges already makes them the same purchase",,
RESIDUE,contradiction_flagged,allium,diced white onion,onion,SYNONYM,low,,,,,Generic 'onion' is a catalog umbrella that a white onion satisfies; but if 'onion' defaults to yellow these would be distinct.,diced|white,false,"signature [diced|white] received DISTINCT + SYNONYM — diced white onion ~ onion => SYNONYM; onion ~ white onion, diced => DISTINCT",,
RESIDUE,confidence_medium,allium,diced white onion,"white onion, roughly chopped",SYNONYM,medium,,,,,"Same white onion purchase, only the knife cut differs.",chopped|diced|roughly,false,,,
RESIDUE,contradiction_flagged,allium,diced white onion,yellow onion,DISTINCT,high,,,,,White onion vs yellow onion are different products.,diced|white|yellow,false,"diced white onion ~ yellow onion labelled DISTINCT, but a chain of SYNONYM edges already makes them the same purchase",,
RESIDUE,contradiction_flagged,allium,diced white onion,"yellow onion, diced",DISTINCT,high,,,,,Yellow onion is a different product from white onion; prep matching does not bridge it.,white|yellow,false,"diced white onion ~ yellow onion, diced labelled DISTINCT, but a chain of SYNONYM edges already makes them the same purchase",,
RESIDUE,contradiction_flagged,allium,diced white onion,"yellow onion, roughly chopped",DISTINCT,high,,,,,Yellow vs white onion — different purchase.,chopped|diced|roughly|white|yellow,false,"diced white onion ~ yellow onion, roughly chopped labelled DISTINCT, but a chain of SYNONYM edges already makes them the same purchase",,
RESIDUE,contradiction_flagged,allium,diced white onion,"yellow onions, finely diced",DISTINCT,high,,,,,Yellow vs white onion — different purchase.,finely|white|yellow,false,"diced white onion ~ yellow onions, finely diced labelled DISTINCT, but a chain of SYNONYM edges already makes them the same purchase",,
RESIDUE,contradiction_flagged,allium,diced white onion,"yellow onions, thinly sliced",DISTINCT,high,,,,,Yellow vs white onion — different purchase.,diced|sliced|thinly|white|yellow,false,"diced white onion ~ yellow onions, thinly sliced labelled DISTINCT, but a chain of SYNONYM edges already makes them the same purchase",,
RESIDUE,confidence_medium,allium,fresh garlic,"garlic, minced",SYNONYM,medium,,,,,"'Minced' is prep of the same fresh garlic purchase, not the jarred product.",fresh|minced,true,,,
RESIDUE,confidence_medium,allium,fried onions (birista),onion,DISTINCT,medium,,,,,"Birista/fried onions is a cooked or purchased crisp product, not something a raw onion already contains.",birista|fried,false,,,
RESIDUE,confidence_medium,allium,fried onions,onion,DISTINCT,medium,,,,,Fried onions are a separate crisp product from a raw onion.,fried,false,,,
RESIDUE,confidence_medium,allium,"frozen pearl onions, thawed",pearl onion,DISTINCT,medium,,,,,Frozen pearl onions and fresh pearl onions are two different products (freezer vs produce aisle).,frozen|thawed,true,,,
RESIDUE,confidence_medium,allium,frozen pearl onions,pearl onion,DISTINCT,medium,,,,,Frozen vs fresh pearl onions are different products.,frozen,true,,,
RESIDUE,confidence_medium,allium,garlic,garlic cloves,SYNONYM,medium,,,,,"Unqualified 'garlic' in a recipe catalog is the clove-level ingredient; same shelf item, same thing handed over.",clove,false,,,
RESIDUE,confidence_medium,allium,garlic,"garlic cloves, minced",SYNONYM,medium,,,,,"'Minced' is a knife instruction, not a different purchase; identical product.",clove|minced,false,,,
RESIDUE,confidence_medium,allium,garlic,"garlic cloves, thinly sliced",SYNONYM,medium,,,,,Slicing is prep; the purchase is the same garlic.,clove|sliced|thinly,false,,,
RESIDUE,confidence_medium,allium,garlic,garlic head,COMPONENT,medium,garlic head,10,clove,false,You buy the head; the recipe-level 'garlic' (cloves) is broken out of it.,head,false,,,
RESIDUE,confidence_medium,allium,garlic,"garlic, minced",SYNONYM,medium,,,,,Mincing is prep on the same garlic; no additional purchase or extraction of a different part.,minced,false,,,
RESIDUE,confidence_medium,allium,garlic,head of garlic,COMPONENT,medium,head of garlic,10,clove,false,The head is the purchase; clove-level garlic comes out of it.,head,false,,,
RESIDUE,confidence_medium,allium,garlic,whole garlic head,COMPONENT,medium,whole garlic head,10,clove,false,Whole head is the purchase; usable garlic cloves are broken off it.,head|whole,true,,,
RESIDUE,contradiction_flagged,allium,green onions,onion,DISTINCT,high,,,,,"Generic 'onion' means a bulb onion, not scallions.",green,false,"same base, color difference, received DISTINCT + SYNONYM — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => DISTINCT; onion ~ white onion [white] => DISTINCT; onion ~ yellow onion [yellow] => SYNONYM",,
RESIDUE,confidence_medium,allium,green onions,sliced green onions,SYNONYM,medium,,,,,Slicing is prep on the bunch of green onions already held; same purchase.,sliced,false,,,
RESIDUE,confidence_low,allium,large yellow onion,medium yellow onion,SYNONYM,low,,,,,"Same product, only a size adjective differs; the shopper picks an onion off the same pile and adjusts amount.",large|medium,false,,,
RESIDUE,confidence_medium,allium,large yellow onion,onion,SYNONYM,medium,,,,,Unqualified 'onion' defaults to a yellow onion; same purchase.,large|yellow,false,,,
RESIDUE,contradiction_flagged,allium,large yellow onion,white onion,DISTINCT,high,,,,,White and yellow onions are different products on the shelf.,large|white|yellow,false,"large yellow onion ~ white onion labelled DISTINCT, but a chain of SYNONYM edges already makes them the same purchase",,
