provenance,needs_review,family,name_a,name_b,label,confidence,base_is,generic_is,yield_qty,yield_unit,co_harvestable,judge_reason
human-reviewed,contradicts_human_ruling,flour_starch,flour tortillas (10-inch),large flour tortillas,SYNONYM,high,,,,,,"reviewed 2026-09-01: Hans's size ruling: 'large' is burrito size and 10-inch is burrito size, so these name one purchase"
arbiter-resolved,contradicts_human_ruling,flour_starch,flour tortillas (10-inch),large flour tortillas (10-inch),SYNONYM,high,,,,,,"Both name a 10-inch flour tortilla; 'large' adds nothing once the diameter is stated. One product, one purchase."
human-reviewed,AUTO,(hans),chicken broth,chicken poaching broth,DISTINCT,high,,,,,,"reviewed 2026-09-01: chicken broth is probably 99.5% of the stuff we'll see, and poaching broth sounds more like the liquid leftover from poaching chicken"
human-reviewed,AUTO,(hans),flour tortillas (8-inch),small flour tortillas,DISTINCT,high,,,,,,"reviewed 2026-09-01: small flour tortillas is specific to taquitos vs. large tortillas for burritos, and 'tortillas' for all purpose small burritos and regular tacos"
human-reviewed,AUTO,(hans),mild italian pork sausage,sweet italian pork sausage,SYNONYM,high,,,,,,reviewed 2026-09-01: the internet seems to think they're basically the same thing and possibly have a barely discernable difference
rule-authored,AUTO,(normalisation),"beef chuck, cut into 1.5-inch cubes",beef chuck,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"beef chuck, cut into 1½-inch cubes",beef chuck,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"beef chuck, cut into 2-inch pieces",beef chuck,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"beef chuck, cut into 3/4-inch cubes",beef chuck,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"beefsteak tomatoes, thinly sliced",beefsteak tomato,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
