ingredientId,ingredientName,decision,gramsPerCup,gramsPerEach,fdcId,usdaDescription,note
c0199008-0dcf-4681-a250-893484f1c8a7,80/20 ground beef,MISS,,,174036,"Beef, ground, 80% lean meat / 20% fat, raw",no cup/each portion
3c25346e-19d8-43df-950a-178dbb0406ef,adobo sauce,MISS,,,,,no curated + no usda match
a8c608eb-aef0-40a7-a3cc-598c38f445ff,all-beef hot dog,MISS,,,,,no curated + no usda match
9de0d54d-e301-4509-85fb-4722c49ca6d4,all-purpose flour,CURATED,,,,,curated
16bf6c82-14f3-4c03-acbe-7e71e13f3039,american cheese,USDA_DERIVED,113,,171290,"Cheese, pasteurized process, American, without added vitamin D",
b5be5c1f-d565-4851-9903-69a3348952d1,american cheese slices,USDA_DERIVED,113,,170853,"Cheese, pasteurized process, American, fortified with vitamin D",
bc608c17-e016-4f20-a9ab-a0a6a31735f9,ancho chili powder,MISS,,,,,no curated + no usda match
59f09126-8f75-424e-afd0-4c3fa2d759fe,anchovy fillet,MISS,,,,,no curated + no usda match
dd6f7897-d9e5-481c-ab2f-92def579fbbf,anchovy fillets in oil,MISS,,,,,no curated + no usda match
d6b9e626-ea5b-4459-ad40-b807286b87ef,angel hair pasta,USDA_DERIVED,64,,169736,"Pasta, dry, enriched",
f1c509bb-0198-40b9-815b-7c06d10a63f2,apple cider vinegar,USDA_DERIVED,239,,173469,"Vinegar, cider",
b36bbb9b-bae6-42a2-b560-87cfc64cb045,apple wood chips,MISS,,,,,no curated + no usda match
f4218e7c-4ff8-45e6-8398-2bc127d93a0e,apples,USDA_DERIVED,109,182,171688,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",
dd009e6b-e760-48d8-9ca3-4f3b22fa5bc8,applewood chips,MISS,,,,,no curated + no usda match
cf277eec-4715-4c0d-84a8-bd7a2acfdfa8,applewood smoking chips,MISS,,,,,no curated + no usda match
11afb0dc-2cd7-4e72-9427-800958b318b6,asparagus,USDA_DERIVED,134,16,168389,"Asparagus, raw",
f184338b-c1e9-4ed0-a38d-9f6679ccd4ed,asparagus spears,USDA_DERIVED,134,16,168389,"Asparagus, raw",
b7425a8e-6692-4d4a-b07a-514eca487056,avocado,USDA_DERIVED,230,,171705,"Avocados, raw, all commercial varieties",
23d9798e-7b8f-452a-8241-a4810705882b,baby arugula,MISS,,,,,no curated + no usda match
f486b7e2-fb54-43db-89e0-27af6f7eb7e2,baby back pork ribs,MISS,,,,,no curated + no usda match
67762dc3-65bf-4d51-aa9e-3af392530af8,baby back ribs,MISS,,,,,no curated + no usda match
cfb99073-94bd-414c-afe2-baf724d9fcfc,baby carrot,USDA_DERIVED,,10,168568,"Carrots, baby, raw",
b96171ad-3a06-496f-b092-d7f513066aff,baby potato,MISS,,,,,no curated + no usda match
3fbb4888-eb7f-44a4-8059-cbe70cbe499b,baby potatoes,USDA_DERIVED,150,213,170026,"Potatoes, flesh and skin, raw",
b9f90c34-f963-4a43-aedd-553af1b98e7f,baby spinach,MISS,,,,,no curated + no usda match
971d1b65-ad8f-4156-ada7-50980b2408ed,baby yellow potato,MISS,,,,,no curated + no usda match
3a55d9bc-49b6-442f-843a-16f66c111353,baby yukon gold potato,MISS,,,,,no curated + no usda match
103c4faf-940d-462d-a8dc-4a677042f698,baby yukon gold potatoes,USDA_DERIVED,150,213,170026,"Potatoes, flesh and skin, raw",
36becf24-3b73-4df3-95f6-2e669095de16,bacon,CURATED,,,,,curated
f8ed1594-d084-4967-8fde-15ea196e88b0,bagels,USDA_DERIVED,,105,174901,"Bagels, egg",
d5deeec4-08a6-4d13-9fb6-4f8381af6d90,baguette,MISS,,,,,no curated + no usda match
de68e7a7-4208-4e08-8f94-cd64df91f27e,baking powder,MISS,,,172805,"Leavening agents, baking powder, low-sodium","form mismatch: Leavening agents, baking powder, low-sodium"
6fb9eb28-0cf9-4aa7-b44c-bcfa167313ae,balsamic vinegar,USDA_DERIVED,255,,172241,"Vinegar, balsamic",
9660aa49-438b-4058-8c6c-2da896287226,bananas,CURATED,,,,,curated
9284298b-6d50-45a9-ad94-3253b9b2eb32,barbecue sauce,USDA_DERIVED,279,,174523,"Sauce, barbecue",
dd5bac34-6412-47d9-902e-357cb61cdf9e,basmati rice,CURATED,,,,,curated
c72613c4-1eba-4d4b-8b07-b36064e51cf5,bay leaf,MISS,,,170917,"Spices, bay leaf","form mismatch: Spices, bay leaf"
92272599-a3dc-42f7-9235-5b0a7aa6f67b,bay leaves,MISS,,,170917,"Spices, bay leaf","form mismatch: Spices, bay leaf"
c2ffeff8-e96a-4299-9771-68802d3143d9,bbq sauce,MISS,,,,,no curated + no usda match
6a7d7f26-2f80-471a-bee2-ccbaafae9710,bean sprouts,CURATED,,,,,curated
a4065ed8-3a25-4505-95d1-e1f57706462a,beef brisket flat,MISS,,,168658,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, select, raw",no cup/each portion
465709f9-c999-4a56-a826-d352cbaab93b,beef broth,MISS,,,171538,"Soup, beef broth or bouillon canned, ready-to-serve","form mismatch: Soup, beef broth or bouillon canned, ready-to-serve"
2db7c24e-8012-4c01-b8aa-80e4b2ab74f4,beef chuck roast,MISS,,,169496,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",no cup/each portion
1abf58ff-d0bd-4022-afab-314330c7e48a,"beef chuck, cut into 1.5-inch cubes",MISS,,,171206,"Beef, chuck for stew, separable lean and fat, all grades, raw",no cup/each portion
370f00ee-c7e5-4a47-94a5-da3ca41dac75,beef hot dogs,MISS,,,173862,"Frankfurter, beef, unheated","form mismatch: Frankfurter, beef, unheated"
b0d80843-4713-4068-955e-8dc26b855fa1,beef sirloin,MISS,,,169458,"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",no cup/each portion
512b543f-1882-4b52-8e8b-136dc6ad67b5,beef sirloin steak tips,MISS,,,174024,"Beef, loin, bottom sirloin butt, tri-tip steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",no cup/each portion
739946bb-765b-42cc-b660-d9c6512cd4a5,beef stock,MISS,,,172883,"Soup, stock, beef, home-prepared","form mismatch: Soup, stock, beef, home-prepared"
ecaf6983-7955-4dc3-b631-e923f93a1878,beef strip steak,MISS,,,169429,"Beef, grass-fed, strip steaks, lean only, raw",no cup/each portion
