bucket,ingredientId,canonicalName,isDeadPointer,oldFdcId,oldDescription,newFdcId,newDescription,newDataType,newCal,newFat,newProtein,newCarbs,runnerUpFdcId,runnerUpDescription,judgeReason,hansRuling
ESCALATE,16bf6c82-14f3-4c03-acbe-7e71e13f3039,american cheese,DEAD,747429,(FDC record not returned),325198,"Cheese, pasteurized process, American, vitamin D fortified",Foundation,366,30.6,18,5.27,170853,"Cheese, pasteurized process, American, fortified with vitamin D","Standard processed American cheese; Foundation vit-D fortified matches typical macros, near-identical SR Legacy record 8 as runner-up.",
ESCALATE,370f00ee-c7e5-4a47-94a5-da3ca41dac75,beef hot dogs,DEAD,323121,(FDC record not returned),173862,"Frankfurter, beef, unheated",SR Legacy,315,28.1,11.7,2.97,323121,"Frankfurter, beef, unheated",Beef frankfurter unheated (SR Legacy) matches beef hot dogs; Foundation record is close runner-up.,
ESCALATE,c53f866a-2ee8-455e-b633-88f387a57db3,broccoli,DEAD,747447,(FDC record not returned),747447,"Broccoli, raw",Foundation,31,0.34,2.57,6.27,170379,"Broccoli, raw",Plain raw broccoli; Foundation preferred over SR Legacy duplicate.,
ESCALATE,e2bbf495-ae0f-4a67-91f4-7c61cff84fc8,dill pickle,DEAD,324653,(FDC record not returned),324653,"Pickles, cucumber, dill or kosher dill",Foundation,12,0.43,0.48,1.99,168558,"Pickles, cucumber, dill or kosher dill",Foundation dill pickle record fits best; SR Legacy is close runner-up,
ESCALATE,65881b55-42db-4ce1-94a4-8cc530fdc439,dill pickle chips,DEAD,324653,(FDC record not returned),324653,"Pickles, cucumber, dill or kosher dill",Foundation,12,0.43,0.48,1.99,168558,"Pickles, cucumber, dill or kosher dill",Dill pickle chips are slices of dill cucumber pickles; Foundation and SR Legacy records both fit.,
ESCALATE,5eb8ecf9-c1c2-45df-8ca0-4c543a18a376,dill pickle slices,DEAD,324653,(FDC record not returned),324653,"Pickles, cucumber, dill or kosher dill",Foundation,12,0.43,0.48,1.99,168558,"Pickles, cucumber, dill or kosher dill",Foundation dill pickle record matches; SR Legacy is close alternative.,
ESCALATE,65f5b145-d695-4e77-b394-ebc62798a25e,jarred salsa,DEAD,746777,(FDC record not returned),746777,"Sauce, salsa, ready-to-serve",Foundation,29,0.19,1.44,6.74,174524,"Sauce, salsa, ready-to-serve",Ready-to-serve salsa sauce matches jarred salsa; two nearly identical records (Foundation vs SR Legacy).,
ESCALATE,9542c4ee-6976-4e56-88ad-acdf3c4143e3,low-moisture mozzarella,DEAD,329370,(FDC record not returned),329370,"Cheese, mozzarella, low moisture, part-skim",Foundation,298,20.4,23.7,4.44,170846,"Cheese, mozzarella, whole milk, low moisture","Recipe says 'low-moisture mozzarella' without milk-fat spec; part-skim Foundation is most standard, whole-milk is plausible alternative.",
ESCALATE,194e3223-86ca-461d-8778-eb56aa4617ea,low-moisture mozzarella cheese,DEAD,329370,(FDC record not returned),329370,"Cheese, mozzarella, low moisture, part-skim",Foundation,298,20.4,23.7,4.44,170846,"Cheese, mozzarella, whole milk, low moisture","Recipe says low-moisture mozzarella without specifying whole vs part-skim; Foundation part-skim is best default, whole milk is runner-up.",
ESCALATE,5e0eacc1-b637-4d0f-b0a1-590e0b0747aa,mild salsa,DEAD,746777,(FDC record not returned),746777,"Sauce, salsa, ready-to-serve",Foundation,29,0.19,1.44,6.74,174524,"Sauce, salsa, ready-to-serve",Plain salsa sauce; Foundation and SR Legacy records nearly identical.,
ESCALATE,127c5e26-bd95-4dff-affe-3e8d60cf62ec,salsa roja,DEAD,746777,(FDC record not returned),174524,"Sauce, salsa, ready-to-serve",SR Legacy,29,0.17,1.52,6.64,746777,"Sauce, salsa, ready-to-serve","Salsa roja is red salsa; both plain salsa records fit, verde is green so wrong.",
