canonicalName,category,catalogUses
kosher salt,Pantry,66
red bell pepper,Produce,5
fresh basil leaves,Produce,4
fine sea salt,Pantry,4
green bell pepper,Produce,3
garam masala,Pantry,3
yellow bell pepper,Produce,3
freshly ground black pepper,Pantry,2
fresh thyme sprigs,Produce,2
ancho chili powder,Pantry,1
bell pepper,Produce,1
thai basil,Produce,1
chipotle pepper in adobo sauce,Pantry,1
instant dry yeast,Pantry,1
warm water,Pantry,1
fresh rosemary sprigs,Produce,1
"fresh flat-leaf parsley, chopped",Produce,1
