row_kind,reason,family,name_a,name_b,label,confidence,base_is,generic_is,yield_qty,yield_unit,co_harvestable,judge_reason,signature,straddles_processing,contradiction_detail
RESIDUE,contradiction_flagged,allium,chives,dried chives,DISTINCT,high,,,,,,"Bare 'chives' means the fresh herb; dried chives are a separate spice-aisle purchase, like fresh vs dried basil.",dried,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM"
RESIDUE,contradiction_flagged,allium,chives,fresh chives,SYNONYM,high,,,,,,Bare 'chives' already denotes the fresh herb; same bunch on the shelf.,fresh,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM"
RESIDUE,confidence_medium,allium,chives,garlic chives,DISTINCT,medium,,,,,,Garlic chives are a different plant (Allium tuberosum) sold separately; bare 'chives' means common chives.,garlic,false,
RESIDUE,confidence_medium,allium,crispy fried onions,fried onions,SYNONYM,medium,,,,,,"Both name the crisp fried onion topping; 'crispy' is descriptive, not a different product.",crispy,false,
RESIDUE,confidence_medium,allium,crispy fried onions,onion,DISTINCT,medium,,,,,,"Crispy fried onions are a cooked/packaged product, not a part you extract from a raw onion; the raw bulb does not satisfy the call.",crispy|fried,false,
RESIDUE,confidence_medium,allium,fried onions (birista),onion,DISTINCT,medium,,,,,,"Birista is a cooked fried-onion preparation/product, not a part harvested from a raw onion.",birista|fried,false,
RESIDUE,confidence_medium,allium,fried onions,onion,DISTINCT,medium,,,,,,Fried onions are a cooked preparation/packaged product; a raw onion does not satisfy the demand.,fried,false,
RESIDUE,confidence_low,allium,"frozen pearl onions, thawed",onion,SUBSUMES,low,,onion,,,,"'onion' is the bare unqualified generic and pearl onions are a kind of onion, though the frozen form stretches the coverage.",frozen|pearl|thawed,true,
RESIDUE,confidence_medium,allium,"frozen pearl onions, thawed",pearl onion,DISTINCT,medium,,,,,,Frozen pearl onions are a freezer-case purchase; bare 'pearl onion' means the fresh bulb.,frozen|thawed,true,
RESIDUE,confidence_low,allium,frozen pearl onions,onion,SUBSUMES,low,,onion,,,,Bare 'onion' is the unqualified generic; frozen pearl onions are one qualified kind of onion.,frozen|pearl,true,
RESIDUE,confidence_medium,allium,frozen pearl onions,pearl onion,DISTINCT,medium,,,,,,Frozen bag versus fresh pearl onions: two different purchases.,frozen,true,
RESIDUE,confidence_medium,allium,garlic cloves,"garlic cloves, peeled",SYNONYM,medium,,,,,,Peeling a clove removes only inedible papery skin; the whole purchase is still used.,peeled,false,
RESIDUE,confidence_medium,allium,garlic,garlic head,SYNONYM,medium,,,,,,Buying 'garlic' is buying a head; same single purchase.,head,false,
RESIDUE,confidence_medium,allium,garlic,head of garlic,SYNONYM,medium,,,,,,Buying 'garlic' means buying a head of garlic; one product.,head,false,
RESIDUE,confidence_medium,allium,garlic,whole garlic head,SYNONYM,medium,,,,,,Same purchase; 'whole head' is just an explicit phrasing of garlic as sold.,head|whole,true,
RESIDUE,contradiction_flagged,allium,green onions,onion,DISTINCT,medium,,,,,,"In recipe usage 'onion' means a bulb onion; green onions are a separate item, not a kind of it.",green,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES"
RESIDUE,confidence_medium,allium,large yellow onion,yellow onion,DISTINCT,medium,,,,,,"Bare 'yellow onion' denotes the standard medium bulb, a sibling of the large size rather than its parent.",large,false,
RESIDUE,confidence_medium,allium,onion,pearl onion,SUBSUMES,medium,,onion,,,,Pearl onions are a specific small bulb onion; the bare generic 'onion' covers them.,pearl,false,
RESIDUE,contradiction_flagged,allium,onion,red onion,SUBSUMES,high,,onion,,,,'onion' is the bare generic; red onion is a specific variety.,red,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES"
RESIDUE,confidence_medium,allium,onion,sliced green onions,DISTINCT,medium,,,,,,"Green onions are a separate produce item from bulb onions, not a variety of them.",green|sliced,false,
RESIDUE,confidence_medium,allium,onion,spring onions,DISTINCT,medium,,,,,,Spring onions are a distinct product from the bulb onion a recipe means by 'onion'.,spring,false,
RESIDUE,contradiction_flagged,allium,onion,white onion,SUBSUMES,high,,onion,,,,'onion' is the bare generic; white onion is a specific variety of it.,white,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES"
RESIDUE,contradiction_flagged,allium,onion,yellow onion,SUBSUMES,high,,onion,,,,'onion' is the bare generic; yellow onion is a specific variety.,yellow,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES"
RESIDUE,confidence_medium,apple,apple,apple cider,DISTINCT,medium,,,,,,"Apple cider is a separately purchased pressed-and-bottled beverage; you cannot get it from a whole apple without pressing equipment, so a shopper holding apples must still buy cider.",cider,false,
RESIDUE,confidence_medium,apple,apple,crisp apple,SUBSUMES,medium,,apple,,,,"'Apple' is the bare generic, unqualified on every axis; 'crisp apple' fixes the texture axis. A demand for apple is met by a crisp apple, not vice versa.",crisp,false,
RESIDUE,confidence_medium,asparagu,asparagus,fresh asparagus,SYNONYM,medium,,,,,,"Bare ""asparagus"" in a recipe context defaults to the fresh produce item; ""fresh"" merely states the default. Same bunch off the same shelf.",fresh,true,
RESIDUE,confidence_medium,asparagu,asparagus,fresh asparagus spears,SYNONYM,medium,,,,,,"Combines two non-differentiating qualifiers: ""fresh"" is the default state and ""spears"" is the default form. Identical purchase.",fresh|spear,true,
RESIDUE,confidence_medium,asparagu,asparagus,"fresh asparagus spears, thick-cut",SUBSUMES,medium,,asparagus,,,,"""asparagus"" is bare and unspecified on the thickness axis; ""thick-cut"" fixes stalk thickness. A shopper needing plain asparagus is happy with thick spears, but one needing thick spears is not satisfied by pencil-thin ones.",cut|fresh|spear|thick,true,
RESIDUE,confidence_medium,asparagu,fresh asparagus,"fresh asparagus spears, thick-cut",SUBSUMES,medium,,fresh asparagus,,,,"""fresh asparagus"" leaves stalk thickness open; ""thick-cut"" fixes it. Demand for the generic is met by thick spears, not the reverse.",cut|spear|thick,false,
RESIDUE,confidence_medium,asparagu spear,asparagus spears,fresh asparagus spears,SYNONYM,medium,,,,,,"Asparagus spears are sold fresh by default; 'fresh' merely states the standard form of the same produce purchase, so either name buys the same bunch.",fresh,true,
RESIDUE,confidence_medium,avocado,avocado,ripe avocado,SUBSUMES,medium,,avocado,,,,"""avocado"" is unqualified on the ripeness axis and a shopper needing an avocado is satisfied by a ripe one, while someone needing ripe is not satisfied by any avocado (a rock-hard one fails).",ripe,false,
RESIDUE,confidence_medium,avocado,avocado,ripe hass avocados,SUBSUMES,medium,,avocado,,,,"Bare generic ""avocado"" is unspecified on both ripeness and variety, so it is satisfied by ripe Hass avocados; the reverse does not hold.",hass|ripe,false,
RESIDUE,confidence_medium,avocado,ripe avocado,ripe hass avocados,SUBSUMES,medium,,ripe avocado,,,,"Both fix ripeness, but the first leaves variety open while the second fixes it to Hass; subsumption within the ripe tier, first name is the generic.",hass,false,
RESIDUE,confidence_medium,bay leaf,bay leaves,dried bay leaves,SYNONYM,medium,,,,,,"Bay leaves are sold and used dried by default; a shopper asked for 'bay leaves' buys the jar of dried bay leaves. The bare name denotes the standard (dried) form rather than acting as a parent over fresh and dried, so it is synonymous with 'dried bay leaves' (fresh bay leaves would be a separate, explicitly qualified product).",dried,true,
RESIDUE,confidence_medium,bean_legume,bean sprouts,fresh bean sprouts,SUBSUMES,medium,,bean sprouts,,,,"'bean sprouts' is the bare generic; 'fresh' fixes the form axis and is satisfied by the specific, not the reverse.",fresh,true,
RESIDUE,confidence_medium,bean_legume,black beans,cooked black beans,SUBSUMES,medium,,black beans,,,,Bare 'black beans' subsumes the cooked state; a demand for cooked beans is not met by just any black beans.,cooked,true,
RESIDUE,contradiction_flagged,bean_legume,black beans,dried black beans,SUBSUMES,high,,black beans,,,,"Bare generic vs the dried form, one axis (form), first name unqualified.",dried,true,signature [dried] received SUBSUMES + SYNONYM — black beans ~ dried black beans => SUBSUMES; chickpeas ~ dried chickpeas => SUBSUMES; dried green split peas ~ green split peas => SYNONYM; dried navy beans ~ navy beans => SUBSUMES; dried pinto beans ~ pinto beans => SUBSUMES; dried red kidney beans ~ red kidney beans => SUBSUMES
RESIDUE,confidence_medium,bean_legume,black beans,refried black beans,DISTINCT,medium,,,,,,Refried black beans are a prepared/canned product requiring fat and seasoning; a separate purchase.,refried,false,
RESIDUE,contradiction_flagged,bean_legume,canned black beans,cooked black beans,SUBSUMES,medium,,cooked black beans,,,,"Canned black beans are already cooked, so they satisfy a demand for 'cooked black beans'; the broader term is the second.",canned|cooked,true,"SUBSUMES declares ""cooked black beans"" generic over ""canned black beans"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)"
RESIDUE,contradiction_flagged,bean_legume,canned dark red kidney beans,kidney beans,SUBSUMES,high,,kidney beans,,,,'kidney beans' is bare on every axis and is satisfied by canned dark red kidney beans; generic is the second.,canned|dark|red,true,signature [canned|dark|red] received DISTINCT + SUBSUMES — canned dark red kidney beans ~ kidney beans => SUBSUMES; canned kidney beans ~ dark red kidney beans => DISTINCT
