row_kind,reason,family,name_a,name_b,label,confidence,base_is,generic_is,yield_qty,yield_unit,co_harvestable,judge_reason,signature,straddles_processing,contradiction_detail
RESIDUE,confidence_medium,cheese,american cheese,american cheese slices,DISTINCT,medium,,,,,,Sliced deli form is a separate purchase from a block/loaf of American cheese; form is the product.,slice,false,
RESIDUE,confidence_medium,cheese,block feta cheese,feta,SYNONYM,medium,,,,,,A block is the default whole form feta is sold in; 'feta' and 'block feta cheese' are one shelf item.,block|cheese,false,
RESIDUE,confidence_medium,cheese,block feta cheese,feta cheese,SYNONYM,medium,,,,,,Block is the standard whole form of feta cheese; one purchase either way.,block,false,
RESIDUE,contradiction_flagged,cheese,cheddar cheese,sharp cheddar cheese,SUBSUMES,high,,cheddar cheese,,,,'Cheddar cheese' is the bare generic; sharp is a specific age grade of it.,sharp,false,signature [sharp] received DISTINCT + SUBSUMES — cheddar cheese ~ sharp cheddar cheese => SUBSUMES; cheddar ~ sharp cheddar => SUBSUMES; shredded cheddar cheese ~ shredded sharp cheddar cheese => DISTINCT
RESIDUE,contradiction_flagged,cheese,cheddar,sharp cheddar,SUBSUMES,high,,cheddar,,,,Bare 'cheddar' is the generic; sharp is a specific grade.,sharp,false,signature [sharp] received DISTINCT + SUBSUMES — cheddar cheese ~ sharp cheddar cheese => SUBSUMES; cheddar ~ sharp cheddar => SUBSUMES; shredded cheddar cheese ~ shredded sharp cheddar cheese => DISTINCT
RESIDUE,confidence_medium,cheese,cotija cheese,"cotija cheese, crumbled",DISTINCT,medium,,,,,,"Crumbled cotija is sold as its own tub, distinct from a whole wheel/block of cotija.",crumbled,false,
RESIDUE,confidence_medium,cheese,cotija cheese,crumbled cotija cheese,DISTINCT,medium,,,,,,Pre-crumbled cotija is a different package than the solid cheese.,crumbled,false,
RESIDUE,confidence_medium,cheese,feta,feta block,SYNONYM,medium,,,,,,A feta block is the default whole form of feta.,block,false,
RESIDUE,confidence_medium,cheese,finely grated parmesan cheese,freshly grated parmesan cheese,DISTINCT,medium,,,,,,'Finely' fixes grate size while leaving freshness open; 'freshly' fixes freshness while leaving size open — different axes.,finely|freshly,false,
RESIDUE,confidence_medium,cheese,finely grated parmesan cheese,grated parmesan,DISTINCT,medium,,,,,,Both names carry qualifiers on the grate; fine-grated powder is not the same package as standard grated parmesan.,cheese|finely,false,
RESIDUE,confidence_medium,cheese,finely grated parmesan cheese,grated parmesan cheese,DISTINCT,medium,,,,,,Fine grate versus standard grate are different products on the shelf.,finely,false,
RESIDUE,confidence_medium,cheese,finely grated parmesan cheese,parmesan,DISTINCT,medium,,,,,,A wedge of parmesan is not finely grated parmesan; the grate is the product.,cheese|finely|grated,true,
RESIDUE,confidence_medium,cheese,finely grated parmesan cheese,parmesan cheese,DISTINCT,medium,,,,,,Block parmesan cheese versus a finely grated product; separate purchases.,finely|grated,true,
RESIDUE,confidence_medium,cheese,finely grated parmesan,freshly grated parmesan,DISTINCT,medium,,,,,,"'Finely' fixes grate size, 'freshly' fixes freshness — independent axes, neither covers the other.",finely|freshly,false,
RESIDUE,confidence_medium,cheese,finely grated parmesan,grated parmesan,DISTINCT,medium,,,,,,Both qualified on grate; fine grate is a different product from standard grated parmesan.,finely,false,
RESIDUE,confidence_medium,cheese,finely grated parmesan,parmesan,DISTINCT,medium,,,,,,Bare parmesan is a wedge; finely grated parmesan is a different purchase.,finely|grated,true,
RESIDUE,contradiction_flagged,cheese,fresh mozzarella cheese,mozzarella cheese,SUBSUMES,high,,mozzarella cheese,,,,Bare 'mozzarella cheese' is the generic; fresh (water-packed) mozzarella is one specific kind.,fresh,true,"same base, prep difference, received DISTINCT + SUBSUMES — fresh mozzarella cheese ~ mozzarella cheese [fresh] => SUBSUMES; mozzarella cheese ~ shredded mozzarella cheese [shredded] => DISTINCT"
RESIDUE,confidence_medium,cheese,freshly grated parmesan cheese,grated parmesan,DISTINCT,medium,,,,,,'Freshly grated' implies grating from a wedge; 'grated parmesan' can be the pre-grated tub — different purchases.,cheese|freshly,false,
RESIDUE,confidence_medium,cheese,freshly grated parmesan cheese,grated parmesan cheese,DISTINCT,medium,,,,,,"Freshly grated versus pre-grated packaged parmesan; both names qualified, different items.",freshly,false,
RESIDUE,confidence_medium,cheese,freshly grated parmesan cheese,parmesan,DISTINCT,medium,,,,,,Bare parmesan wedge is not the grated product; grate is the product.,cheese|freshly|grated,true,
RESIDUE,confidence_medium,cheese,freshly grated parmesan cheese,parmesan cheese,DISTINCT,medium,,,,,,Block parmesan cheese versus grated parmesan; separate catalog items.,freshly|grated,true,
RESIDUE,confidence_medium,cheese,freshly grated parmesan,grated parmesan,DISTINCT,medium,,,,,,"Freshly grated versus generic grated parmesan; both qualified, not the same package.",freshly,false,
RESIDUE,confidence_medium,cheese,freshly grated parmesan,parmesan,DISTINCT,medium,,,,,,Bare parmesan is the wedge; the grated form is a different product line.,freshly|grated,true,
RESIDUE,confidence_medium,cheese,grated parmesan cheese,parmesan,DISTINCT,medium,,,,,,Grated parmesan versus a solid wedge of parmesan; form is the product.,cheese|grated,true,
RESIDUE,confidence_medium,cheese,grated parmesan cheese,parmesan cheese,DISTINCT,medium,,,,,,Grated tub versus block parmesan cheese; separate purchases.,grated,true,
RESIDUE,confidence_medium,cheese,grated parmesan,parmesan,DISTINCT,medium,,,,,,Grated parmesan versus the whole wedge; different products.,grated,true,
RESIDUE,confidence_medium,cheese,grated pecorino romano,pecorino romano,DISTINCT,medium,,,,,,Grated pecorino is a different package than a wedge of pecorino romano.,grated,true,
