rank,category,parent_dish,dish,primary_axis,cross_axis_used,axis_note,short_of_target,short_reason
1,Pasta,Spaghetti with Meat Sauce,Classic Slow-Simmered Beef Bolognese,preparation,false,"The meat sauce itself has genuine latitude — protein choice, aromatics, depth of cook, and seasoning profile all produce meaningfully different dinners while staying true to the dish.",true,A sixth distinct version would require either repeating a protein already covered or inventing a distinction too minor to change what a person actually eats — the dish supports five real versions.
1,Pasta,Spaghetti with Meat Sauce,Spicy Italian Sausage Meat Sauce,preparation,false,"The meat sauce itself has genuine latitude — protein choice, aromatics, depth of cook, and seasoning profile all produce meaningfully different dinners while staying true to the dish.",true,A sixth distinct version would require either repeating a protein already covered or inventing a distinction too minor to change what a person actually eats — the dish supports five real versions.
1,Pasta,Spaghetti with Meat Sauce,Sunday Gravy with Pork and Beef,preparation,false,"The meat sauce itself has genuine latitude — protein choice, aromatics, depth of cook, and seasoning profile all produce meaningfully different dinners while staying true to the dish.",true,A sixth distinct version would require either repeating a protein already covered or inventing a distinction too minor to change what a person actually eats — the dish supports five real versions.
1,Pasta,Spaghetti with Meat Sauce,Ground Turkey and Tomato Meat Sauce,preparation,false,"The meat sauce itself has genuine latitude — protein choice, aromatics, depth of cook, and seasoning profile all produce meaningfully different dinners while staying true to the dish.",true,A sixth distinct version would require either repeating a protein already covered or inventing a distinction too minor to change what a person actually eats — the dish supports five real versions.
1,Pasta,Spaghetti with Meat Sauce,Weeknight Beef and Mushroom Meat Sauce,preparation,false,"The meat sauce itself has genuine latitude — protein choice, aromatics, depth of cook, and seasoning profile all produce meaningfully different dinners while staying true to the dish.",true,A sixth distinct version would require either repeating a protein already covered or inventing a distinction too minor to change what a person actually eats — the dish supports five real versions.
2,Mexican/Tex-Mex,Ground Beef Tacos (Hard Shell),Classic Tex-Mex Ground Beef Tacos,preparation,false,"Hard-shell ground beef tacos have real latitude in seasoning, toppings, and sauces — the same crunchy shell and seasoned beef can be dressed in genuinely different ways that change what you actually eat.",true,"The hard shell and ground beef are fixed, and the taco's identity is already simple and focused; only five topping/seasoning combinations produce genuinely distinct dinners rather than near-clones swapping one garnish."
2,Mexican/Tex-Mex,Ground Beef Tacos (Hard Shell),Smoky Chipotle Ground Beef Tacos with Avocado Crema,preparation,false,"Hard-shell ground beef tacos have real latitude in seasoning, toppings, and sauces — the same crunchy shell and seasoned beef can be dressed in genuinely different ways that change what you actually eat.",true,"The hard shell and ground beef are fixed, and the taco's identity is already simple and focused; only five topping/seasoning combinations produce genuinely distinct dinners rather than near-clones swapping one garnish."
2,Mexican/Tex-Mex,Ground Beef Tacos (Hard Shell),Green Chile Ground Beef Tacos with Pepper Jack and Pico de Gallo,preparation,false,"Hard-shell ground beef tacos have real latitude in seasoning, toppings, and sauces — the same crunchy shell and seasoned beef can be dressed in genuinely different ways that change what you actually eat.",true,"The hard shell and ground beef are fixed, and the taco's identity is already simple and focused; only five topping/seasoning combinations produce genuinely distinct dinners rather than near-clones swapping one garnish."
2,Mexican/Tex-Mex,Ground Beef Tacos (Hard Shell),Baja-Style Ground Beef Tacos with Cabbage Slaw and Lime Crema,preparation,false,"Hard-shell ground beef tacos have real latitude in seasoning, toppings, and sauces — the same crunchy shell and seasoned beef can be dressed in genuinely different ways that change what you actually eat.",true,"The hard shell and ground beef are fixed, and the taco's identity is already simple and focused; only five topping/seasoning combinations produce genuinely distinct dinners rather than near-clones swapping one garnish."
2,Mexican/Tex-Mex,Ground Beef Tacos (Hard Shell),Cheesy Taco Bell–Style Ground Beef Tacos with Nacho Cheese Sauce,preparation,false,"Hard-shell ground beef tacos have real latitude in seasoning, toppings, and sauces — the same crunchy shell and seasoned beef can be dressed in genuinely different ways that change what you actually eat.",true,"The hard shell and ground beef are fixed, and the taco's identity is already simple and focused; only five topping/seasoning combinations produce genuinely distinct dinners rather than near-clones swapping one garnish."
3,Chicken,Baked Chicken Breast,Lemon-Herb Baked Chicken Breast,preparation,false,"Baked chicken breast has wide latitude in seasoning, glaze, and crust — the same cut can wear dramatically different flavors and finishes that produce genuinely different dinners.",false,
3,Chicken,Baked Chicken Breast,Honey Garlic Glazed Baked Chicken Breast,preparation,false,"Baked chicken breast has wide latitude in seasoning, glaze, and crust — the same cut can wear dramatically different flavors and finishes that produce genuinely different dinners.",false,
3,Chicken,Baked Chicken Breast,Parmesan-Crusted Baked Chicken Breast,preparation,false,"Baked chicken breast has wide latitude in seasoning, glaze, and crust — the same cut can wear dramatically different flavors and finishes that produce genuinely different dinners.",false,
3,Chicken,Baked Chicken Breast,Smoky Paprika Baked Chicken Breast,preparation,false,"Baked chicken breast has wide latitude in seasoning, glaze, and crust — the same cut can wear dramatically different flavors and finishes that produce genuinely different dinners.",false,
3,Chicken,Baked Chicken Breast,Balsamic-Dijon Baked Chicken Breast,preparation,false,"Baked chicken breast has wide latitude in seasoning, glaze, and crust — the same cut can wear dramatically different flavors and finishes that produce genuinely different dinners.",false,
3,Chicken,Baked Chicken Breast,Sun-Dried Tomato and Basil Baked Chicken Breast,preparation,false,"Baked chicken breast has wide latitude in seasoning, glaze, and crust — the same cut can wear dramatically different flavors and finishes that produce genuinely different dinners.",false,
4,Sandwiches/Burgers,Classic Cheeseburger,Smash Burger with American Cheese and Special Sauce,preparation,false,"The cheeseburger has a wide wardrobe — patty style, cheese choice, toppings, and build all vary meaningfully without changing what the dish fundamentally is.",false,
4,Sandwiches/Burgers,Classic Cheeseburger,Thick-Patty Pub Burger with Cheddar and Caramelized Onions,preparation,false,"The cheeseburger has a wide wardrobe — patty style, cheese choice, toppings, and build all vary meaningfully without changing what the dish fundamentally is.",false,
4,Sandwiches/Burgers,Classic Cheeseburger,Mushroom-Swiss Burger with Garlic Aioli,preparation,false,"The cheeseburger has a wide wardrobe — patty style, cheese choice, toppings, and build all vary meaningfully without changing what the dish fundamentally is.",false,
4,Sandwiches/Burgers,Classic Cheeseburger,Bacon Cheeseburger with Pepper Jack and Jalapeños,preparation,false,"The cheeseburger has a wide wardrobe — patty style, cheese choice, toppings, and build all vary meaningfully without changing what the dish fundamentally is.",false,
4,Sandwiches/Burgers,Classic Cheeseburger,Blue Cheese Burger with Crispy Onion Straws,preparation,false,"The cheeseburger has a wide wardrobe — patty style, cheese choice, toppings, and build all vary meaningfully without changing what the dish fundamentally is.",false,
