row_kind,reason,family,name_a,name_b,label,confidence,base_is,yield_qty,yield_unit,co_harvestable,judge_reason,signature,straddles_processing,contradiction_detail,hans_verdict,hans_notes
RESIDUE,contradiction_flagged,allium,chives,dried chives,DISTINCT,high,,,,,"Fresh herb versus dried herb jar, like fresh basil vs dried basil.",dried,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM",,
RESIDUE,contradiction_flagged,allium,chives,fresh chives,SYNONYM,high,,,,,Unqualified chives means the fresh bunch.,fresh,true,"same base, prep difference, received DISTINCT + SYNONYM — chives ~ dried chives [dried] => DISTINCT; chives ~ fresh chives [fresh] => SYNONYM",,
RESIDUE,confidence_medium,allium,diced white onion,onion,DISTINCT,medium,,,,,"Unqualified onion defaults to the yellow storage onion, not white.",diced|white,false,,,
RESIDUE,contradiction_flagged,allium,fresh garlic,garlic,SYNONYM,high,,,,,"'Fresh garlic' is just garlic as bought, the same bulb.",fresh,true,"same base, prep difference, received COMPONENT + SYNONYM — fresh garlic ~ garlic [fresh] => SYNONYM; garlic ~ garlic, minced [minced] => COMPONENT",,
RESIDUE,confidence_medium,allium,fresh garlic,"garlic, minced",COMPONENT,medium,fresh garlic,10,clove,false,You buy the bulb of fresh garlic and mince cloves out of it.,fresh|minced,true,,,
RESIDUE,confidence_medium,allium,"frozen pearl onions, thawed",pearl onion,DISTINCT,medium,,,,,Frozen bag versus fresh pearl onions are different products/aisles.,frozen|thawed,true,,,
RESIDUE,confidence_medium,allium,frozen pearl onions,pearl onion,DISTINCT,medium,,,,,Frozen versus fresh pearl onions are separate purchases.,frozen,true,,,
RESIDUE,contradiction_flagged,allium,"garlic cloves, minced","garlic, minced",SYNONYM,high,,,,,Minced garlic and minced garlic cloves name the same thing.,clove,false,"signature [clove] received COMPONENT + SYNONYM — garlic cloves, minced ~ garlic, minced => SYNONYM; garlic ~ garlic cloves => COMPONENT",,
RESIDUE,contradiction_flagged,allium,garlic cloves,"garlic cloves, minced",SYNONYM,high,,,,,Mincing is a prep note on the same cloves.,minced,false,"signature [minced] received COMPONENT + SYNONYM — garlic cloves ~ garlic cloves, minced => SYNONYM; garlic ~ garlic, minced => COMPONENT",,
RESIDUE,contradiction_flagged,allium,garlic,garlic cloves,COMPONENT,high,garlic,10,clove,false,You buy the head of garlic; cloves come out of it.,clove,false,"signature [clove] received COMPONENT + SYNONYM — garlic cloves, minced ~ garlic, minced => SYNONYM; garlic ~ garlic cloves => COMPONENT",,
RESIDUE,contradiction_flagged,allium,garlic,"garlic, minced",COMPONENT,high,garlic,10,clove,false,Buy the head; mincing extracts the minced garlic.,minced,false,"signature [minced] received COMPONENT + SYNONYM — garlic cloves ~ garlic cloves, minced => SYNONYM; garlic ~ garlic, minced => COMPONENT | same base, prep difference, received COMPONENT + SYNONYM — fresh garlic ~ garlic [fresh] => SYNONYM; garlic ~ garlic, minced [minced] => COMPONENT",,
RESIDUE,contradiction_flagged,allium,green onions,onion,DISTINCT,high,,,,,A bunch of scallions is not a storage onion.,green,false,"same base, color difference, received DISTINCT + SYNONYM — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => DISTINCT; onion ~ white onion [white] => DISTINCT; onion ~ yellow onion [yellow] => SYNONYM",,
RESIDUE,confidence_medium,allium,large yellow onion,medium yellow onion,SYNONYM,medium,,,,,"Same yellow onion product; size is a quantity qualifier, not a different purchase.",large|medium,false,,,
RESIDUE,confidence_medium,allium,large yellow onion,onion,SYNONYM,medium,,,,,Unqualified onion means the yellow storage onion.,large|yellow,false,,,
RESIDUE,confidence_medium,allium,leeks,"leeks, white and light green parts only",SYNONYM,medium,,,,,Same leeks; trimming the tough green tops is standard prep on the purchased bunch.,green|light|only|part|white,false,,,
RESIDUE,confidence_medium,allium,medium yellow onion,onion,SYNONYM,medium,,,,,Unqualified onion means the yellow storage onion.,medium|yellow,false,,,
RESIDUE,contradiction_flagged,allium,onion,red onion,DISTINCT,high,,,,,Red onion is a different variety from the default yellow onion.,red,false,"same base, color difference, received DISTINCT + SYNONYM — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => DISTINCT; onion ~ white onion [white] => DISTINCT; onion ~ yellow onion [yellow] => SYNONYM",,
RESIDUE,contradiction_flagged,allium,onion,white onion,DISTINCT,medium,,,,,White onion is a specific variety; generic onion defaults to yellow.,white,false,"same base, color difference, received DISTINCT + SYNONYM — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => DISTINCT; onion ~ white onion [white] => DISTINCT; onion ~ yellow onion [yellow] => SYNONYM",,
RESIDUE,confidence_medium,allium,onion,"white onion, diced",DISTINCT,medium,,,,,White onion is a specific variety; generic onion defaults to yellow.,diced|white,false,,,
RESIDUE,confidence_medium,allium,onion,"white onion, roughly chopped",DISTINCT,medium,,,,,White onion is a specific variety; generic onion defaults to yellow.,chopped|roughly|white,false,,,
RESIDUE,contradiction_flagged,allium,onion,yellow onion,SYNONYM,medium,,,,,Unqualified onion means the yellow storage onion.,yellow,false,"same base, color difference, received DISTINCT + SYNONYM — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => DISTINCT; onion ~ white onion [white] => DISTINCT; onion ~ yellow onion [yellow] => SYNONYM",,
RESIDUE,confidence_medium,allium,onion,"yellow onion, diced",SYNONYM,medium,,,,,Generic onion is the yellow onion; dicing is prep.,diced|yellow,false,,,
