mealId,title,serv,run1Cal,run2Cal,run1P,run2P,run1C,run2C,run1F,run2F,grounded%,flagsBoth,flagsEither
r-grain-bowl,"Mediterranean Grain Bowl",2,735,735,33,33,74,74,32,32,100,"",""
r-salmon,"Lemon Herb Salmon",2,565,565,35,35,53,53,20,20,100,"",""
r-stirfry,"Chicken Veggie Stir-fry",4,445,445,32,32,48,48,12,12,100,"",""
r-tacos,"Beef Street Tacos",4,565,565,32,32,48,48,25,25,100,"",""
r-pasta,"Creamy Mushroom Pasta",4,565,565,25,25,54,54,24,24,100,"",""
r-stew,"Hearty Lentil Stew",6,445,445,18,18,73,73,3,3,100,"",""
r-tofu,"Teriyaki Tofu Bowl",2,565,565,27,27,62,62,20,20,100,"",""
r-pizza,"Margherita Pizza Night",4,565,565,18,18,63,63,24,24,83,"",""
r-curry,"Coconut Chickpea Curry",4,505,505,19,19,73,73,12,12,88,"",""
r-buddha,"Roasted Veg Buddha Bowl",2,605,605,27,27,69,69,24,24,100,"",""
r-shrimp,"Garlic Shrimp Scampi",4,535,505,32,27,59,48,13,17,100,"",""
r-greek,"Big Greek Salad",2,445,445,12,12,20,20,34,34,88,"",""
dev-meal-salmon-rice-pilaf,"Salmon with Rice Pilaf",4,625,625,35,35,40,40,28,28,100,"",""
080db331-b55d-4d23-9178-54a1ef81211c,"Instant Pot Chicken Tikka Masala with Basmati Rice and Warm Naan",2,1070,1070,54,50,131,131,37,39,86,"",""
2942e5a2-0d2a-4f08-a3be-817e6baf956c,"Sheet-Pan Steak and Bell Pepper Fajitas with Flour Tortillas and Shredded Cheddar",2,1265,1260,65,65,115,115,60,60,94,"",""
3db74283-da57-4932-902d-674b7067dfc7,"Oven-Roasted Prosciutto-Wrapped Chicken Breast with Sun-Dried Tomato Cream Sauce and Orzo",2,975,975,53,53,71,71,49,49,86,"",""
bf3f2efa-1cbe-496e-a4a0-ebd64473ecd2,"Sheet-Pan Steak and Bell Pepper Fajita Rice Bowls with Mild Pico and Cheddar",2,830,830,43,43,73,74,37,36,88,"",""
06a3ff2a-05f5-4f71-bb02-e61641e9434f,"Rigatoni Arrabbiata with Italian Sausage and Fresh Basil",2,735,735,41,41,73,73,26,26,82,"",""
ba14d4db-9c34-437d-bb00-76ed0adbaf5a,"Instant Pot Butter Chicken with Basmati Rice and Warm Naan",2,1040,1070,47,50,100,131,44,42,86,"",""
a40f036a-10ae-4a52-8a07-f19004cf4f34,"Crispy Oven-Baked Chicken Thighs with Roasted Bell Peppers and Garlic White Rice",2,1155,1030,43,44,68,66,52,43,82,"",""
ad53bf3f-0677-4024-aeb7-3274565e1ff5,"Beef and Black Bean Enchiladas with Mild Red Sauce and Melted Cheddar",2,1008,1008,45,45,104,104,41,41,89,"",""
cf848983-1a32-4d88-be53-d281afd57f12,"Thai Basil Pork (Pad Kra Pao) with Jasmine Rice and a Crispy Fried Egg",2,950,965,50,50,93,93,39,40,88,"",""
8524c341-4904-4d4d-95ab-49f863ecc138,"Grilled Chicken Shawarma Wraps with Garlic Sauce, Pickled Onion, and Cucumber",2,1265,1285,51,51,108,108,65,68,86,"Atwater 24 kcal vs stated 55 kcal (>40% off)","Atwater 24 kcal vs stated 55 kcal (>40% off)"
8678a11c-6fe4-4408-863f-5690dc479805,"Build-Your-Own Veggie Tacos with Roasted Corn, Black Beans, and Guacamole",4,885,885,30,30,90,90,42,42,92,"",""
