verdict,canonicalName,fdcDescription,fdcId,calories,fat,protein,carbs,judgeReason,guardrailVerdict,overlapRatio,hansRuling
NO,lemon,"Lemon juice from concentrate, bottled, REAL LEMON",167802,17,0.07,0.47,5.66,"Recipe 'lemon' means the whole fruit/juice from fresh, but this is bottled lemon juice concentrate—a different form/food than a recipe's lemon.",fail,0.17,
NO,mayonnaise,"Salad dressing, mayonnaise and mayonnaise-type, low calorie",168112,263,19,0.9,23.9,"Recipe 'mayonnaise' means regular mayo (~680 kcal, ~75g fat); this is a low-calorie/diet version with far lower fat and inflated carbs.",fail,0.17,
NO,mixed greens,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",169085,37,0.2,1.4,7.31,"Recipe 'mixed greens' means leafy salad greens, not a canned corn/beans/peas/carrots vegetable mix.",fail,0.17,
NO,whole chicken,"School Lunch, chicken nuggets, whole grain breaded",170795,270,12.9,15.7,22.9,"Whole chicken is raw poultry, not breaded chicken nuggets; carbs 22.9g reveals breading, wrong food/state.",fail,0.17,
NO,beef chuck roast,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",169496,190,9.36,26.4,0,"Recipe chuck roast is untrimmed/raw with marbling; USDA record is lean-only trimmed to 0"" fat and cooked, understating fat and altering per-gram macros.",pass,0.2,
NO,fresh mint,"Candies, NESTLE, AFTER EIGHT Mints",168766,432,11.9,1.67,79.5,Fresh mint herb matched to a candy; totally different food with 79.5g carbs and 432 cal per 100g.,fail,0.2,
NO,ribeye steak,"Game meat, bison, ribeye, separable lean only, 1"" steak, cooked, broiled",172599,177,5.67,29.4,0,"Recipe ribeye is beef; matched record is bison ribeye, a different species with different fat/macros.",fail,0.2,
NO,salsa,"Dip, salsa con queso, cheese and salsa- medium",174068,143,9.51,3.14,11.1,"Salsa con queso (cheese dip, 9.5g fat) is a different food than plain salsa, which is near fat-free and much lower calorie.",fail,0.2,
NO,beef brisket flat,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, select, raw",168658,124,4.14,21.7,0,"Recipe brisket is a fatty cut; this is trimmed lean-only select at 4.14g fat, understating fat/calories significantly.",pass,0.25,
NO,boneless ribeye steak,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",174699,187,11.4,19.5,1.75,"Ribeye cap (spinalis) lean-only is a different cut than a whole ribeye steak, which includes marbled fat; macros understate the recipe's fat.",fail,0.25,
NO,coconut milk,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",174116,31,2.08,0.21,2.92,"Recipe 'coconut milk' means canned coconut milk (~20% fat, ~200 kcal/100g); this is a sweetened beverage at 31 kcal/100g — wildly different macros.",fail,0.29,
NO,flour tortilla,"Tortillas, ready-to-bake or -fry, flour, refrigerated",175037,306,7.99,8.2,49.4,"Recipe flour tortillas are the standard ready-to-eat product; this is a raw refrigerated ready-to-bake/fry dough, differing in state (uncooked) and macros.",pass,0.29,
NO,flour tortillas,"Tortillas, ready-to-bake or -fry, flour, refrigerated",175037,306,7.99,8.2,49.4,"Recipe means ready-to-eat flour tortillas; this is a raw refrigerated dough (ready-to-bake/fry), a different state with lower carbs/higher fat than baked tortillas (~52-55g carbs, ~6g fat).",pass,0.29,
NO,large flour tortilla,"Tortillas, ready-to-bake or -fry, flour, refrigerated",175037,306,7.99,8.2,49.4,"Recipe means a ready-to-eat flour tortilla; this record is an unbaked/raw refrigerated dough (needs baking/frying), so state and macros differ.",pass,0.29,
NO,sandwich bread,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",167597,320,10.7,3.13,52.8,"Gluten-free bread has very different macros (10.7g fat) than standard wheat sandwich bread (~3-4g fat, higher protein).",fail,0.29,
NO,small flour tortilla,"Tortillas, ready-to-bake or -fry, flour, refrigerated",175037,306,7.99,8.2,49.4,"Recipe uses a finished flour tortilla; USDA record is refrigerated raw dough (ready-to-bake/-fry), a different state with off macros.",pass,0.29,
NO,yellow potato,"Potatoes, yellow fleshed, french fried, frozen, unprepared",169764,162,5.84,2.47,25,"Recipe 'yellow potato' means raw tuber; matched record is french fried frozen with added fat (5.84g), wrong state/macros.",pass,0.29,
