mealId,title,serv,curCal,curP,curC,curF,newCal,newP,newC,newF,dCal,grounded%,basisTag,sanityFlags
r-grain-bowl,Mediterranean Grain Bowl,2,540,22,68,18,765,33.6,82.8,33.2,225,100,LEGUME/GRAIN,
r-salmon,Lemon Herb Salmon,2,620,38,42,28,565,32.8,52.3,18.9,-55,100,LEGUME/GRAIN,
r-stirfry,Chicken Veggie Stir-fry,4,480,32,52,14,565,34.2,60.5,14.1,85,100,LEGUME/GRAIN,
r-tacos,Beef Street Tacos,4,560,30,48,24,605,26.5,54.8,28.1,45,100,LEGUME/GRAIN,
r-pasta,Creamy Mushroom Pasta,4,620,18,78,26,553,21.8,54,24.1,-67,100,,
r-stew,Hearty Lentil Stew,6,380,18,56,8,412,16.8,58.2,2.8,32,100,LEGUME/GRAIN,
r-tofu,Teriyaki Tofu Bowl,2,510,24,62,18,605,33.8,62.1,20.9,95,100,LEGUME/GRAIN,
r-pizza,Margherita Pizza Night,4,580,22,68,22,605,19.8,65.2,26.4,25,83,LEGUME/GRAIN,
r-curry,Coconut Chickpea Curry,4,480,16,62,18,545,18.4,72.8,15.1,65,88,LEGUME/GRAIN,
r-buddha,Roasted Veg Buddha Bowl,2,520,16,72,18,615,26.8,72.3,24.1,95,100,LEGUME/GRAIN,
r-shrimp,Garlic Shrimp Scampi,4,540,32,58,18,555,32.4,60.8,13.2,15,100,,
r-greek,Big Greek Salad,2,380,12,22,28,555,16.8,24.5,42.1,175,88,,
dev-meal-salmon-rice-pilaf,Salmon with Rice Pilaf,4,640,38,48,26,530,30.7,39.8,25.9,-110,100,LEGUME/GRAIN,
080db331-b55d-4d23-9178-54a1ef81211c,Instant Pot Chicken Tikka Masala with Basmati Rice and Warm Naan,2,1055,52.3,76.3,59.9,995,51.3,103.3,33.3,-60,86,LEGUME/GRAIN,
2942e5a2-0d2a-4f08-a3be-817e6baf956c,Sheet-Pan Steak and Bell Pepper Fajitas with Flour Tortillas and Shredded Cheddar,2,1035,65.1,75.3,52.1,1235,64.8,115.7,55.3,200,94,LEGUME/GRAIN,
3db74283-da57-4932-902d-674b7067dfc7,Oven-Roasted Prosciutto-Wrapped Chicken Breast with Sun-Dried Tomato Cream Sauce and Orzo,2,1090,68,57.1,58.7,1045,57.2,78.7,50.3,-45,86,,
bf3f2efa-1cbe-496e-a4a0-ebd64473ecd2,Sheet-Pan Steak and Bell Pepper Fajita Rice Bowls with Mild Pico and Cheddar,2,900,57.3,68,43.6,1075,53.5,103.7,42.7,175,88,LEGUME/GRAIN,
06a3ff2a-05f5-4f71-bb02-e61641e9434f,Rigatoni Arrabbiata with Italian Sausage and Fresh Basil,2,745,32.8,78.2,28.1,755,39.2,68.4,32.1,10,82,,
ba14d4db-9c34-437d-bb00-76ed0adbaf5a,Instant Pot Butter Chicken with Basmati Rice and Warm Naan,2,1055,53.2,89.2,50,1335,48.8,131.3,63.5,280,86,LEGUME/GRAIN,
a40f036a-10ae-4a52-8a07-f19004cf4f34,Crispy Oven-Baked Chicken Thighs with Roasted Bell Peppers and Garlic White Rice,2,955,48.90000000000001,58.2,57.7,1030,42.3,50.9,58.5,75,82,LEGUME/GRAIN,
ad53bf3f-0677-4024-aeb7-3274565e1ff5,Beef and Black Bean Enchiladas with Mild Red Sauce and Melted Cheddar,2,1165,65.9,72.1,62.1,1017,44.5,100.7,43.7,-148,89,LEGUME/GRAIN,
cf848983-1a32-4d88-be53-d281afd57f12,Thai Basil Pork (Pad Kra Pao) with Jasmine Rice and a Crispy Fried Egg,2,850,42.7,55.9,48.2,1025,51.1,92.9,35.6,175,88,LEGUME/GRAIN,
8524c341-4904-4d4d-95ab-49f863ecc138,"Grilled Chicken Shawarma Wraps with Garlic Sauce, Pickled Onion, and Cucumber",2,965,48.5,69.3,50,1320,50.8,114.4,69.2,355,86,LEGUME/GRAIN,Atwater 24 kcal vs stated 55 kcal (>40% off)
8678a11c-6fe4-4408-863f-5690dc479805,"Build-Your-Own Veggie Tacos with Roasted Corn, Black Beans, and Guacamole",4,940,28.5,98.8,46.5,880,26.6,86.5,43,-60,92,LEGUME/GRAIN,
e5556c9f-fb1b-4f06-8659-fe96e9de6ade,Crispy Hard Shell Ground Beef Tacos with Street Corn Salad,4,830,44,63,44,1430,83.2,102.6,75.6,600,91,,
